"id","partno","sectionno","ledgerno","codenk","itemname","mua","ved","fns","accountingunit","scaledto","inlieupartno","pageno","pagenoold","eqptcode","location","msnumber","mspageno","mslocation","msitemsrlno","unitprice","duesin","dateofmmf","mmf","leadtime","fwp","dateentered","dataentryclk","dateupdated","procurecostmax","procurecostmin","procuretimeaverage","abc","stock","disable","inlieupartno1","inlieupartno2","auth","module"
"14554","5330-395295                               ","46","110",,"(DELETED) GREASE SEAL (25X40X7)","false","0","3","9","2","141109","101","MC RE 350CC (1.1) Pg- 24","14","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","0",,,,"1.0","0"
"14571","141969                                    ","46","109",,"NEEDLE VALVE ASSY","false","0","3","9","2",,"27","MC RE 350CC (1.1) Pg- 81","14","          /B1E2      /          ","0","3","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0","4","3","4",,,,"1.0","0"
"14572","141970                                    ","46","109",,"FLOAT ASSY","false","0","3","9","2",,"84","MC RE 350CC (1.1) Pg- 82","14","          /          /          ","0","3","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","3",,,,"1.0","0"
"14573","141977                                    ","46","109",,"PILOT JET (SIZE 25)","false","0","3","9","2",,"29","MC RE 350CC (1.1) Pg- 87","14","          /B1F2      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","6",,,,"1.0","0"
"14576","2520-000711                               ","46","109",,"FRICTION PLATE (140329)","false","0","3","9","2",,"94",,"14","          /B1C3      /          ","0","8","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"14577","2520-000713                               ","46","109",,"FRICTION PLATE BONDED","false","0","3","9","16","111146","95","MC RE 350CC (1.1) Pg- 158","14","          /B2G1      /          ","0","8","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","4",,,,"1.0","0"
"14587","2805-000305 (144448)                      ","46","1",,"VALVE INLET","false","0","3","9","1001",,,,"10001","          /B1D1      /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","4",,,,,
"14589","2805-000312                               ","46","109",,"PUSH ROD WITH ENDS INLET","false","0","3","9","2",,"125","MC RE 350CC (1.1) Pg- 203","14","          /B1B3      /          ","0","11","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","6",,,,"1.0","0"
"14592","2805-000328                               ","46","109",,"PISTON C/W RINGS GUDGAON PIN AND CIRCLIP","false","0","3","9","2",,"131","MC RE 350CC (1.1) Pg- 216","14","          /B2G1      /          ","0","10","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","1",,,,"1.0","0"
"14596","2805-000497                               ","46","109",,"PAWL","false","0","3","9","2",,"141","MC RE 350CC (1.1) Pg- 232","14","          /B1E3      /          ","0","12","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","5",,,,"1.0","0"
"14598","2805-000504                               ","46","109",,"FRONT CONTROL RATCHET INNER (HFC-4/35)","false","0","3","9","2",,"144","MC RE 350CC (1.1) Pg- 237","14","          /B1C3      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","1",,,,"1.0","0"
"14599","2805-000513                               ","46","109",,"NEUTRAL LEVER","false","0","3","9","2",,"147","MC RE 350CC (1.1) Pg- 239","14","          /B1D2      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","3",,,,"1.0","0"
"14604","591061                                    ","46","109",,"PETROL TANK CAP ASSY LOCKABLE","false","0","3","9","2","2910-000650","84","MC RE 350CC (1.1) Pg- 247","14","          /B1C1      /          ","0","15","0","0","0.0",,"2024-08-21 00:00:00",,"3","0","1900-01-01 00:00:00","1001","2024-08-21 00:00:00","0.0","0.0",,"3","4",,,,"3.0","0"
"14607","2920-000453                               ","46","110",,"RECTIFIER WITH NUT AND PLAIN WASHER","false","0","3","9","2",,"4","MC RE 350CC (1.1) Pg- 250","14","          /B2E3      /          ","0","5","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","1",,,,"1.0","0"
"14610","2920-000460                               ","46","110",,"CONTACT BREAKER COVER (140970 111359 )","false","0","3","9","2",,"6","MC RE 350CC (1.2) Pg- 3","14","          /B1F1      /          ","0","6","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","4",,,,"1.0","0"
"14611","2920-001200","46","110",,"IGNITION SWITCH C/W RUBBER RIN","false","2","2","9","2",,"56","MC RE 350CC (1.2) Pg- 5","14",,"223","2","0","40","0.0",,"2019-01-11 00:00:00",,"3","0","2010-07-20 00:00:00","173","2019-01-11 00:00:00","0.0","0.0",,"2","0","1",,,"1.0","0"
"14614","3020-000305                               ","46","110",,"GEAR SLIDING 21T & 18T MAIN SHAFT","false","0","3","9","2",,"18","MC RE 350CC (1.2) Pg- 19","14","          /B1B1      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"14615","3020-000308                               ","46","110",,"PINION 2ND GEAR (19T)","false","0","3","9","2",,"20","MC RE 350CC (1.2) Pg- 22","14","          /B1B1      /          ","0","12","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","3",,,,"1.0","0"
"14616","3020-000309                               ","46","110",,"PINION 3RD GEAR (22T)","false","0","3","9","2",,"21","MC RE 350CC (1.2) Pg- 23","14","          /B1B1      /          ","0","12","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","3",,,,"1.0","0"
"14617","3020-000313                               ","46","110",,"OPERATOR INSIDE","false","0","3","9","2",,"24","MC RE 350CC (1.2) Pg- 26","14","          /B2F3      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","5",,,,"1.0","0"
"14618","3020-000314                               ","46","110",,"FRONT CHAIN DUPLEX X 10 PITCHES","false","0","3","9","2",,"25","MC RE 350CC (1.2) Pg- 27","14","          /B1B3      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","5",,,,"1.0","0"
"14619","3020-000315                               ","46","110",,"REAR CHAIN 5/8 X3/8  94 PICHES","false","0","3","9","2",,"26","MC RE 350CC (1.2) Pg- 28","14","          /B2D1      /          ","0","18","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"14620","3040-001194                               ","46","110",,"GEAR DOG","false","0","3","9","2",,"31","MC RE 350CC (1.2) Pg- 33","14","          /B1E2      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"14621","3040-001196                               ","46","110",,"CABLE ASSY CLUTCH CONTROL SPEEDOMETER","false","0","3","9","2",,"33","MC RE 350CC (1.2) Pg- 34","14","          /          /          ","0","9","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","2024-05-20 00:00:00","1001","2024-05-20 00:00:00","140.0","140.0",,"3","9",,,,"2.0","0"
"14624","3120-000230                               ","46","110",,"FLOATING BUSH","false","0","3","9","2","140020","50","MC RE 350CC (1.2) Pg- 43","14","          /B1E3      /          ","0","6","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"14625","3110-003428                               ","28","110",,"ROLLER BRG","false","0","3","9","2","111887","43","MC RE 350CC (1.2) Pg- 40","14","          /B1G2      /          ","0","9","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","1",,,,"1.0","0"
"14627","5310-003445                               ","46","110",,"HEX THIN NUT LH (H-56)","false","0","3","9","2",,"76","MC RE 350CC (1.2) Pg- 93","14","          /B1F3      /          ","0","12","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","4",,,,"1.0","0"
"14628","5315-002131                               ","46","110",,"PIN","false","0","3","9","2",,"82","MC RE 350CC (1.2) Pg- 101","14","          /B1E2      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"14630","5330-002394                               ","46","110",,"GASKET TAPET COVER","false","0","3","9","2","140152","85","MC RE 350CC (1.2) Pg- 114","14","          /B2F2      /          ","0","10","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"14632","5330-002660                               ","46","110",,"OIL SEAL SHAFT MAIN BALL BRG","false","0","3","9","2",,"89","MC RE 350CC (1.2) Pg- 122","14","          /B1F1      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","19",,,,"1.0","0"
"14637","5360-000987 (110308)                      ","46","1",,"SPRING","false","0","3","9","1001",,,,"10001","          /B2F3      /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"3","3",,,,,
"14638","5365-000855                               ","46","110",,"BUSH LAY SHAFT(ID S/X SPINDLE)","false","0","3","9","2","112029","117","MC RE 350CC (1.2) Pg- 161","14","          /B2E1      /          ","0","12","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","3",,,,"1.0","0"
"14641","5999-006864                               ","46","110",,"C. B. POINT SET","false","0","3","9","2","140954","127","MC RE 350CC (1.2) Pg- 175","14","          /B2G3      /          ","0","6","0","0","0.0","0","1900-01-01 00:00:00","3","0","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"14677","16010-198-901                             ","35","39",,"GASKET SET","false","0","3","9","2",,"46",,"13","          /B12C1     /          ","0","12","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","340.0","340.0",,"3","1",,,,"1.0","0"
"14729","35100-KE6-830                             ","35","39",,"SWITCH ASSY COMBINATION","false","0","3","9","2",,"28",,"13","          /B12C3     /          ","0","12","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"14732","5930029540(35340-401-680)                 ","35","1",,"SWITCH ASSY FR STOP","false","0","3","9","1001",,,,"10001","          /B12C3     /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"3","1",,,,,
"14744","45450-198-900                             ","35","39",,"CABLE COMP FRONT BRAKE","false","0","3","9","2",,"36",,"13","          /          /          ","0","13","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","112.0","112.0",,"3","0",,,,"1.0","0"
"14759","90756-198-000                             ","35","39",,"OIL SEAL FRT FORK","false","0","3","9","2",,"41",,"13","          /B12C3     /          ","0","14","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","3",,,,"1.0","0"
"14927","H-3006158","43","123",,"PISTON ASSY","false","2","2","9","2",,"---",,"120","B12/F1",,,"0",,"0.0",,"2019-01-30 00:00:00",,"3","0","2008-07-03 00:00:00","173","2019-01-30 00:00:00","0.0","0.0",,"2","0","1",,,"1.0","0"
"15107","5330-385564                               ","51","83",,"OIL SEAL","false","0","3","9","2","2573-3530-7705","146",,"123","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0","7","3","0",,,,"1.0","0"
"15112","2573-3240-7107                            ","51","82",,"LEAF 7TH","false","0","3","9","2",,"180",,"131","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","0",,,,"1.0","0"
"15113","2573-3240-7110                            ","51","82",,"LEAF 10TH","false","0","3","9","2",,"97",,"123","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"15118","1457-431-003","51","29",,"FILTER INSERT (STAGE-I)","false","2","1","9","2",,"1",,"140",,"0","4","0","58","120.0",,"2019-03-02 00:00:00",,"3","2","2011-03-03 00:00:00","28","2019-03-02 00:00:00","0.0","0.0",,,"0","1",,,"1.0",
"15527","000-542-0106-J                            ","51","1",,"SPEEDOMETER","false","0","3","9","1001",,,,"10001","          /          /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"3","2",,,,,
"15569","2060-4310-0101                            ","51","82",,"MASTER CYLINDER REPAIR KIT","false","0","3","9","2",,"39",,"123","          /          /          ","0","33","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","10",,,,"1.0","0"
"15580","2910-000303                               ","51","83",,"ELEMENT PUMP 7MM PLUNGER HELEX LEFT HAND","false","0","3","9","2",,"93",,"123","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","12",,,,"1.0","0"
"15586","2920-000137                               ","51","83",,"WINDING FIELD MAIN","false","2","3","9","2",,"108",,"123","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","0","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","0",,,,"1.0","0"
"15587","2920-000139                               ","51","83",,"SOLENOID SWITCH 12 VOLT","false","0","3","9","2",,"96",,"123","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","0",,,,"1.0","0"
"15589","2920-000163                               ","51","83",,"TERMINAL ( )","false","0","3","9","2",,"97",,"123","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","4",,,,"1.0","0"
"15607","3110-003190","51","83",,"BEARING TAPER ROLLER OUTER","false","2","3","9","2",,"28",,"131","B24B3",,,"0",,"136.0",,"2018-01-10 00:00:00",,"3","1","2010-11-29 00:00:00",,"2018-01-10 00:00:00","0.0","0.0",,,"0","1",,,"1.0",
"15644","1426-159-9016                             ","51","1",,"HOSE CLAMP","false","0","3","9","1001",,,,"10001","          /          /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"3","1",,,,,
"15651","2573-5440-9916                            ","51","1",,"(DELETED) OIL PRESSURE GAUGE","false","0","3","9","1001",,,,"10001","          /          /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"3","8",,,,,
"15658","6212-0300097                              ","51","1",,"BULB G12 V 10W DIN 72601","false","0","3","9","1001",,,,"10001","          /          /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","14.0","14.0",,"3","16",,,,,
"15671","130-054-160-624                           ","50","1",,"GASKET","false","0","3","9","1001",,,,"10001","          /          /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"3","0",,,,,
"15680","309-201-140-620                           ","50","81",,"SCREW M6X30","false","0","3","9","12",,"20",,"147","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"0","0",,,,"1.0",
"15715","324-921-071-453                           ","50","81",,"ROLLER III 7X14","false","0","3","9","12",,"55",,"147","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"0","0",,,,"1.0",
"15719","324-938-032-2520                          ","50","81",,"ROLLER II","false","0","3","9","12",,"59",,"147","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"0","0",,,,"1.0",
"15735","4420-5050-0644                            ","50","81",,"ROCKER BUSH","false","0","3","9","12",,"84",,"147","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"0","0",,,,"1.0",
"15738","442-971-440-288","50","121",,"SPACER 5.8MM","false","2","2","9","2",,"79",,"147","B18    G3",,,"0",,"0.0",,"2018-08-28 00:00:00",,"3","0","2002-09-09 00:00:00","173","2018-08-28 00:00:00","0.0","0.0",,"2","1","1",,,"1.0","0"
"15739","443-971-440-281                           ","50","121",,"SPACER WASHER 5.1 MM","false","0","3","9","2",,"72",,"147","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","1",,,,"1.0","0"
"15771","443-971-042-607                           ","50","121",,"LOWER CUP","false","0","3","9","12",,"67",,"147","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","1",,,,"1.0","0"
"15772","443-971-070-045                           ","50","121",,"PIN CYLINDRICAL","false","0","3","9","12",,"69",,"147","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","1",,,,"1.0","0"
"15773","443-971-441-706                           ","50","121",,"UPPER CUP","false","0","3","9","2",,"81",,"147","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","1",,,,"1.0","0"
"15779","443-916-025-049","50","81",,"SEALING RING","false","2","2","9",,,"128",,"147","B23 D5",,,"0",,"0.0",,"2018-08-27 00:00:00",,"3","0","2002-09-09 00:00:00","46","2018-08-27 00:00:00","0.0","0.0",,"2","1","1",,,"1.0","0"
"15952","3110-000031                               ","28","112",,"BRG BALL JNL SGL ROW 31.750MMX79.375MMX2","false","0","3","9","2",,"43","ALL TYPES OF VEH (1) Pg- 56","134","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"15965","3110-000252                               ","28","110",,"BRG BALL JNL SGL ROW 25MMX47MMX12MM","false","0","3","9","2",,"39","ALL TYPES OF VEH (1) Pg- 46","14","          /B1G2      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","0",,,,"1.0","0"
"15969","3110-000922                               ","165","110",,"BEARING BALL JOURNAL SINGLE ROW 17X40X12","false","0","3","9","2",,"40","ALL TYPES OF VEH (1) Pg- 50","14","          /B1G2      /          ","0","14","0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0","2","3","10",,,,"1.0","0"
"16597","2754-2910- 0106","49","82",,"CLUTCH SLAVE CYL ASSY  TC 715","false","0","3","9","2","2654-2910-0163        ","87",,"123","          /          /          ","0","81","0","0","0.0","4","2024-11-28 00:00:00","0","3","3","2023-03-22 00:00:00","1001","2024-11-28 00:00:00","1501.0","1364.0",,"3","2",,"2573-2910-0154",,"1.0","0"
"16608","5340-135146                               ","144","46",,"LOCK ASSY GATE SIDE LH","false","0","3","9","2","82550-M-80082","81",,"121","          /          /          ","0",,"0","0","0.0","5","1900-01-01 00:00:00","3","3","2","2025-04-01 00:00:00","1001","2025-04-01 00:00:00","628.0","628.0",,"3","1",,,,"1.0","0"
"16609","41110M80041                               ","144","1",,"SPRING ASSY FRONT","false","0","3","9","1001",,,,"10001","          /          /          ","0",,,"0","0.0","8","1900-01-01 00:00:00","3",,"0","2025-04-21 00:00:00","1001","2025-04-21 00:00:00","1450.0","1450.0","14","3","5",,,,,
"16622","09265-41001","42","45",,"FRONT WHEEL BEARING","false","2","3","9","16",,"----",,"121","B2C3",,,"0",,"437.0",,"2019-02-02 00:00:00",,"3","2","2011-03-06 00:00:00","173","2019-02-02 00:00:00","0.0","0.0",,"2","21","1",,,"1.0","0"
"16623","09269-35009                               ","28","45",,"BEARING (35X72X16.5)","false","0","3","9","2",,"20",,"121","          /B3G3      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","2020-09-17 00:00:00","1001","2020-09-17 00:00:00","0.0","0.0",,"3","19",,,,"1.0","0"
"16625","09283-26016                               ","144","45",,"OIL SEAL","false","0","1","9","2",,"23",,"121","          /B4C3      /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","1","2025-04-03 00:00:00","1001","2025-04-03 00:00:00","0.0","0.0",,"3","1",,,,"1.0","0"
"16632","09305M13002                               ","144","1",,"BUSH SPRG SHACKLE","false","0","3","9","1001",,,,"10001","          /B5G1      /          ","0",,,"0","0.0","45","1900-01-01 00:00:00","0",,"0","2022-12-10 00:00:00","1001","2022-12-10 00:00:00","35.0","35.0",,"3","0",,,,,
"16637","09343M11116","42","45",,"HOSE BREATHER(FUEL TANK)","false","2","1","9","10",,"30",,"121","B2E3",,,"0",,"15.0","0","2010-05-31 00:00:00","0","3","1","2010-05-31 00:00:00",,,,,,,"0","1",,,"1.0",
"16640","09383-13001","42","45",,"E.RING.FLEXIBLEHOSE(BRAKEPIPE)","false","2","2","9","2",,"34",,"121","B2A4",,,"0",,"0.0","0","2008-04-02 00:00:00","0","3","0","2008-04-02 00:00:00",,,,,,,"1","1",,,"1.0",
"16642","5365-011087                               ","144","46",,"RING RETAINING","false","0","3","9","2","09390-M-62010","86",,"121","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,"1.0","0"
"16648","09407M10402                               ","144","1",,"CLAMP","false","0","3","9","1001",,,,"10001","          /B4G1      /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","0",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"3","6",,,,,
