"id","partnoid","voucherno","refjobid","reffaultid","quantityrequired","demandedby","demandeddate","returnpartno","receipts","receiptr","receiptu","issues","issuer","issueu","issueddate","noofdays","stockbalances","stockbalancer","stockbalanceu","demandnumber","receivedby","remarks","dateupdated","dataentryclk","procurementtime","status","approvedby","approvaldate","itemcall"
"64","35131",,"183",,,,,,,,,"SWITCH ROTARY MINIATURE 1 BANK 16 POSITI",,,,,,,,,,,,,,,,,
"65","37505",,"460",,,,,,,,,"VALVE DELIVERY",,,,,,,,,,,,,,,,,
"66","29570",,"3",,,,,,,,,"Brg Bush",,,,,,,,,,,,,,,,,
"67","34290",,"59",,,,,,,,,"TRAFFICATOR ASSY LH FRONT",,,,,,,,,,,,,,,,,
"68","36786",,"467",,,,,,,,,"LOGIC CARD BROTHER PRINTER ",,,,,,,,,,,,,,,,,
"69","10332008",,"185",,,,,,,,,"NBF INJECTOR",,,,,,,,,,,,,,,,,
"70","14604",,"242",,,,,,,,,"PETROL TANK CAP ASSY LOCKABLE",,,,,,,,,,,,,,,,,
"71","36206",,"428",,,,,,,,,"BEARING BALL 6210",,,,,,,,,,,,,,,,,
"72","33575",,"71",,,,,,,,,"ROD WELDING SILICON BRONZE 6.30MM",,,,,,,,,,,,,,,,,
"73","34467",,"276",,,,,,,,,"GASKET SET FULL",,,,,,,,,,,,,,,,,
"74","35484",,"1",,,,,,,,,"NUT SELF LOCKING ROUND/GROOVED NUT",,,,,,,,,,,,,,,,,
"75","20760",,"260",,,,,,,,,"PANEL ELECTR CIRCUT LINE CARD",,,,,,,,,,,,,,,,,
"76","36995",,"164",,,,,,,,,"BATTERY COVER (BC )",,,,,,,,,,,,,,,,,
"77","33901",,"164",,,,,,,,,"RAM DDR3 2GB",,,,,,,,,,,,,,,,,
"78","33824",,"474",,,,,,,,,"'V' BELT (COGGED 980 IG)",,,,,,,,,,,,,,,,,
"79","34429",,"199",,,,,,,,,"Solenoid Valve",,,,,,,,,,,,,,,,,
"80","35920",,"170",,,,,,,,,"WASHER 22 ODX105IDX2T",,,,,,,,,,,,,,,,,
"81","35029",,"428",,,,,,,,,"SWITCH TOGGLE DPDT-2A 250V MC ENG CO TYP",,,,,,,,,,,,,,,,,
"82","10334260",,"449",,,,,,,,,"DRUM ASSY P/1552",,,,,,,,,,,,,,,,,
"83","36677",,"109",,,,,,,,,"SPRING AXLE HOUSING BREAT",,,,,,,,,,,,,,,,,
"84","34746",,"158",,,,,,,,,"CAM SHAFT",,,,,,,,,,,,,,,,,
"85","35159",,"92",,,,,,,,,"CAP PROTECTIVE DUST AND MOISTURE SEAL",,,,,,,,,,,,,,,,,
"86","18642",,"459",,,,,,,,,"LEADED BRASS ROD ROUND 10.00 MM",,,,,,,,,,,,,,,,,
"87","36837",,"303",,,,,,,,,"REPAIR KIT FOR AIR PRESSURE GOVERNOR",,,,,,,,,,,,,,,,,
"88","33865",,"80",,,,,,,,,"PRESSURE SPRING",,,,,,,,,,,,,,,,,
"89","34588",,"474",,,,,,,,,"MINOR  KIT CALIPER KB X280",,,,,,,,,,,,,,,,,
"90","10327439",,"260",,,,,,,,,"PROPELLER SHAFT/AGB TO FRONT & REAR AXLE",,,,,,,,,,,,,,,,,
"91","10075093",,"491",,,,,,,,,"BUZZER",,,,,,,,,,,,,,,,,
"92","34619",,"211",,,,,,,,,"LINE",,,,,,,,,,,,,,,,,
"93","36452",,"87",,,,,,,,,"CPU FAN COOLER",,,,,,,,,,,,,,,,,
"94","25525",,"23",,,,,,,,,"HOSE(4720-014153/X-1916510)",,,,,,,,,,,,,,,,,
"95","35457",,"309",,,,,,,,,"SCREW BA NON MAGNATIC BRASS IN STT 10X10",,,,,,,,,,,,,,,,,
"96","34379",,"430",,,,,,,,,"YOKE SLIDING",,,,,,,,,,,,,,,,,
"97","10333308",,"20",,,,,,,,,"RING GEAR",,,,,,,,,,,,,,,,,
"98","37033",,"225",,,,,,,,,"CABLE ASSY SPL PURPOSE ELECT 50MM LONG C",,,,,,,,,,,,,,,,,
"99","35002",,"130",,,,,,,,,"PLATE MOUNTING FRONT KEY PAD",,,,,,,,,,,,,,,,,
"100","17532",,"370",,,,,,,,,"PLATE BUTT (ALLUMINIUM)",,,,,,,,,,,,,,,,,
"101","34558",,"99",,,,,,,,,"'O' RING",,,,,,,,,,,,,,,,,
"102","34947",,"87",,,,,,,,,"CABLE ASSY SPECIAL PURPOSE ELECT RICAL 2",,,,,,,,,,,,,,,,,
"103","34782",,"3",,,,,,,,,"BUSHING-7X2 CSN 63 3881.1",,,,,,,,,,,,,,,,,
"104","23386",,"17",,,,,,,,,"GASKET MUFFLER.",,,,,,,,,,,,,,,,,
"105","35774",,"46",,,,,,,,,"HORN",,,,,,,,,,,,,,,,,
"106","34107",,"94",,,,,,,,,"LEVER ASSEMBLY CLUTCH(130 074 711 754)",,,,,,,,,,,,,,,,,
"107","34688",,"270",,,,,,,,,"SPRING",,,,,,,,,,,,,,,,,
"108","33679",,"453",,,,,,,,,"LOUDSPEAKER PERMANENT MAGNET",,,,,,,,,,,,,,,,,
"109","33453",,"369",,,,,,,,,"BUSH STABLISER MOUNT",,,,,,,,,,,,,,,,,
"110","36805",,"497",,,,,,,,,"ARM ROCKER VALVE",,,,,,,,,,,,,,,,,
"111","37842",,"290",,,,,,,,,"RADIATOR",,,,,,,,,,,,,,,,,
"112","36487",,"449",,,,,,,,,"REGULATOR - CONTROL  ELECTRONIC  ENGINE",,,,,,,,,,,,,,,,,
"113","33951",,"334",,,,,,,,,"PANLE ELECTRONIC CKT AGC & MON CIRCUIT",,,,,,,,,,,,,,,,,
"114","18842",,"7",,,,,,,,,"ROLLER BRG OUTER",,,,,,,,,,,,,,,,,
"115","37634",,"383",,,,,,,,,"UNLOADER VALVE",,,,,,,,,,,,,,,,,
"116","36330",,"113",,,,,,,,,"CABLE ASSY BATTERY TO EARTH",,,,,,,,,,,,,,,,,
"117","29459",,"172",,,,,,,,,"Thrust Washer",,,,,,,,,,,,,,,,,
"118","20000379",,"371",,,,,,,,,"POWER ADOPTER EPSON",,,,,,,,,,,,,,,,,
"119","35005",,"243",,,,,,,,,"LED GREEN",,,,,,,,,,,,,,,,,
"120","21237",,"400",,,,,,,,,"BUSHING SLEEVE",,,,,,,,,,,,,,,,,
"121","10031114",,"466",,,,,,,,,"PANEL ASSY LHP 260 (RT 6001)",,,,,,,,,,,,,,,,,
"122","10418357",,"325",,,,,,,,,"PAINT RFU AIR DRY BR SPR ENA GREEN GRASS",,,,,,,,,,,,,,,,,
"123","35804",,"489",,,,,,,,,"BEARING NRA",,,,,,,,,,,,,,,,,
"124","36092",,"239",,,,,,,,,"SISTEENTHLEAF",,,,,,,,,,,,,,,,,
"125","37754",,"208",,,,,,,,,"PINION OIL SEAL KIT 59",,,,,,,,,,,,,,,,,
"126","38091",,"37",,,,,,,,,"SERVICE KIT",,,,,,,,,,,,,,,,,
"127","10018139",,"97",,,,,,,,,"CLOTH HESSAIN LIGHT 100 CM WIDE",,,,,,,,,,,,,,,,,
"128","23728",,"123",,,,,,,,,"WEATHER STRIP",,,,,,,,,,,,,,,,,
"129","28940",,"337",,,,,,,,,"KNOB",,,,,,,,,,,,,,,,,
"130","33805",,"276",,,,,,,,,"DECK COVERING SEALING COATING",,,,,,,,,,,,,,,,,
"131","37511",,"389",,,,,,,,,"Element filter",,,,,,,,,,,,,,,,,
"132","35160",,"151",,,,,,,,,"CAP PROTECTIVE DUST AND MOISTURE SEAL 27",,,,,,,,,,,,,,,,,
"133","28445",,"442",,,,,,,,,"BELT WATER PUMP",,,,,,,,,,,,,,,,,
"134","35144",,"259",,,,,,,,,"CONNECTOR RCPT SLD BAY 26 X2/5935-943149",,,,,,,,,,,,,,,,,
"135","35454",,"63",,,,,,,,,"IMPACT PROTECTOR MUZZLE",,,,,,,,,,,,,,,,,
"136","35969",,"137",,,,,,,,,"Hose",,,,,,,,,,,,,,,,,
"137","37768",,"309",,,,,,,,,"ASSY BALL JOINTS UPPER WISHBONE",,,,,,,,,,,,,,,,,
"138","28603",,"119",,,,,,,,,"Gasket Case Centre",,,,,,,,,,,,,,,,,
"139","28592",,"435",,,,,,,,,"GEAR SPEEDOMETER DRIVE",,,,,,,,,,,,,,,,,
"140","20000106",,"320",,,,,,,,,"VGA CARD",,,,,,,,,,,,,,,,,
"141","10337977",,"398",,,,,,,,,"RUBBER STEP",,,,,,,,,,,,,,,,,
"142","34771",,"462",,,,,,,,,"HOSE 6X300-1111 Z ON 63 5412.02",,,,,,,,,,,,,,,,,
"143","34803",,"126",,,,,,,,,"PISTON RING SCRAPPER TYPE 7-2278-52-0/3",,,,,,,,,,,,,,,,,
"144","37646",,"246",,,,,,,,,"HEAD LAMP ASSY",,,,,,,,,,,,,,,,,
"145","36165",,"439",,,,,,,,,"MAIN LEAF",,,,,,,,,,,,,,,,,
"146","20000004",,"5",,,,,,,,,"GASKET GEAR CASE",,,,,,,,,,,,,,,,,
"147","10487887",,"99",,,,,,,,,"ELEMENT AIR CLEANER",,,,,,,,,,,,,,,,,
"148","36328",,"455",,,,,,,,,"AIR CLEANER ASSLY CA2 (WITH BUSH)",,,,,,,,,,,,,,,,,
"149","37984",,"432",,,,,,,,,"INJECTOR",,,,,,,,,,,,,,,,,
"150","28852",,"265",,,,,,,,,"SEAL  PISTON",,,,,,,,,,,,,,,,,
"151","34142",,"500",,,,,,,,,"SCREW WOOD (106 231 140 608 )",,,,,,,,,,,,,,,,,
"152","33686",,"296",,,,,,,,,"IBLE PCB ASSEMBLY A6 A8 40P",,,,,,,,,,,,,,,,,
"153","22053",,"123",,,,,,,,,"COPPER WASHER 18 DIA",,,,,,,,,,,,,,,,,
"154","10472620",,"477",,,,,,,,,"SENSOR WATER THERMO",,,,,,,,,,,,,,,,,
"155","10584834",,"498",,,,,,,,,"FIXING BRACKET ASSY",,,,,,,,,,,,,,,,,
"156","16625",,"86",,,,,,,,,"OIL SEAL",,,,,,,,,,,,,,,,,
"157","34403",,"316",,,,,,,,,"SCREW",,,,,,,,,,,,,,,,,
"158","37095",,"466",,,,,,,,,"ENGINE BRAKE SWITCH",,,,,,,,,,,,,,,,,
"159","34495",,"446",,,,,,,,,"CABLE ASSY (SYSTEM UNIT)",,,,,,,,,,,,,,,,,
"160","34972",,"72",,,,,,,,,"COVER PROTECTIVE DUST & MOI STURE SEAL W",,,,,,,,,,,,,,,,,
"161","37603",,"331",,,,,,,,,"SPEEDOMETER (RATIO/0 80)",,,,,,,,,,,,,,,,,
"162","20000388",,"232",,,,,,,,,"SPEEDOMETER ASSY",,,,,,,,,,,,,,,,,
"163","20000507",,"236",,,,,,,,,"LOGIC CAD 1020",,,,,,,,,,,,,,,,,
"164","36545",,"245",,,,,,,,,"AIR DRYER KIT WITH FILTER",,,,,,,,,,,,,,,,,
"165","10450156",,"16",,,,,,,,,"PIPE TO IC TO ENGINE TURBO APRIATED",,,,,,,,,,,,,,,,,
"166","38070",,"64",,,,,,,,,"BRAKE PADEL",,,,,,,,,,,,,,,,,
"167","34168",,"42",,,,,,,,,"NUT  PLAIN  HEXAGON (107 120 314 120)",,,,,,,,,,,,,,,,,
"168","20000492",,"314",,,,,,,,,"ENG STOP SOLENOID",,,,,,,,,,,,,,,,,
"169","34227",,"274",,,,,,,,,"ACCELERATOR CABLE",,,,,,,,,,,,,,,,,
"170","18126",,"337",,,,,,,,,"TEFLON FOR ICON 0273",,,,,,,,,,,,,,,,,
"171","36030",,"359",,,,,,,,,"Servo Motor",,,,,,,,,,,,,,,,,
"172","34750",,"170",,,,,,,,,"RADIATOR HOSE",,,,,,,,,,,,,,,,,
"173","36599",,"95",,,,,,,,,"(DELETED) CIRCUIT CARD ASSY MEMORY CIRCUIT C25",,,,,,,,,,,,,,,,,
"174","37547",,"492",,,,,,,,,"KIT WHEEL CYLINDER ASSY (MAJOR)",,,,,,,,,,,,,,,,,
"175","33422",,"186",,,,,,,,,"OIL SEAL",,,,,,,,,,,,,,,,,
"176","34864",,"18",,,,,,,,,"GASKET",,,,,,,,,,,,,,,,,
"177","37563",,"70",,,,,,,,,"COMBINATION SWITCH",,,,,,,,,,,,,,,,,
"178","20000338",,"195",,,,,,,,,"SHAFT (SELF)",,,,,,,,,,,,,,,,,
"179","35932",,"241",,,,,,,,,"Turbo charger-Re-Entrant",,,,,,,,,,,,,,,,,
"180","10302573",,"235",,,,,,,,,"TENSIONEER BELT",,,,,,,,,,,,,,,,,
"181","10448274",,"373",,,,,,,,,"RECTIFIER ASSY(LU-26948003A)",,,,,,,,,,,,,,,,,
"182","19014",,"6",,,,,,,,,"THREADED RING",,,,,,,,,,,,,,,,,
"183","23032",,"269",,,,,,,,,"PISTON RING SET (0.040  O/S)",,,,,,,,,,,,,,,,,
"184","23077",,"291",,,,,,,,,"SPRING",,,,,,,,,,,,,,,,,
"185","33952",,"294",,,,,,,,,"CABLE ASSEMBLY SPECIAL PURPOSE",,,,,,,,,,,,,,,,,
"186","33616",,"285",,,,,,,,,"TUBING RUBBER INTERNAL DIAMETRE 20 MM",,,,,,,,,,,,,,,,,
"187","19010",,"274",,,,,,,,,"OIL SEAL",,,,,,,,,,,,,,,,,
"188","33621",,"209",,,,,,,,,"POLY V BELT",,,,,,,,,,,,,,,,,
"189","36740",,"442",,,,,,,,,"ASSY PADDING DOOR FRONT LH",,,,,,,,,,,,,,,,,
"190","34025",,"310",,,,,,,,,"GASKET CRANK CASE TO CYL BARREL",,,,,,,,,,,,,,,,,
"191","10334543",,"309",,,,,,,,,"O-RING",,,,,,,,,,,,,,,,,
"192","22957",,"94",,,,,,,,,"BRACKET FLASHER UNIT",,,,,,,,,,,,,,,,,
"193","20000043",,"29",,,,,,,,,"PNEUMATIC CONNECTOR",,,,,,,,,,,,,,,,,
"194","24806",,"279",,,,,,,,,"LEAF 9TH",,,,,,,,,,,,,,,,,
"195","20000096",,"109",,,,,,,,,"BRAKE SHOE LINING",,,,,,,,,,,,,,,,,
"196","33551",,"133",,,,,,,,,"REPAIR KIT (MAJOR)M/C",,,,,,,,,,,,,,,,,
"197","10362180",,"187",,,,,,,,,"STAY ASSY",,,,,,,,,,,,,,,,,
"198","34821",,"81",,,,,,,,,"BALANCING GEAR",,,,,,,,,,,,,,,,,
"199","23803",,"25",,,,,,,,,"PUMP HYDRAULIC RAM HAND DRIVEN",,,,,,,,,,,,,,,,,
"200","24584",,"289",,,,,,,,,"HOSE FLEXIBLE",,,,,,,,,,,,,,,,,
"201","33762",,"106",,,,,,,,,"GASKET",,,,,,,,,,,,,,,,,
"202","35486",,"393",,,,,,,,,"FLEXIBLE HOSE ASSY",,,,,,,,,,,,,,,,,
"203","34370",,"184",,,,,,,,,"REGULATOR ASSY",,,,,,,,,,,,,,,,,
"204","35945",,"211",,,,,,,,,"Pad Engine Mounting",,,,,,,,,,,,,,,,,
"205","34549",,"373",,,,,,,,,"(DELETED) HOSE AIR INTAKE",,,,,,,,,,,,,,,,,
"206","34700",,"204",,,,,,,,,"STUD BOLT",,,,,,,,,,,,,,,,,
"207","34852",,"81",,,,,,,,,"SIDE GASKET 548 MM (442-954-162-984)",,,,,,,,,,,,,,,,,
"208","29943",,"355",,,,,,,,,"D V Assy",,,,,,,,,,,,,,,,,
"209","20000180",,"20",,,,,,,,,"KEY",,,,,,,,,,,,,,,,,
"210","18581",,"236",,,,,,,,,"NAILS STEEL WIRE ROUND 40MM X 2 MM",,,,,,,,,,,,,,,,,
"211","29572",,"236",,,,,,,,,"Drive Assy",,,,,,,,,,,,,,,,,
"212","29355",,"191",,,,,,,,,"INSULATOR CARBURETOR",,,,,,,,,,,,,,,,,
"213","20000316",,"82",,,,,,,,,"FAN BELT",,,,,,,,,,,,,,,,,
"214","10403898",,"137",,,,,,,,,"PIN FIRING ROD HEAD",,,,,,,,,,,,,,,,,
"215","29653",,"472",,,,,,,,,"Assy of Damper Front and Rear",,,,,,,,,,,,,,,,,
"216","36247",,"263",,,,,,,,,"BEARING THRUST 51207",,,,,,,,,,,,,,,,,
"217","37006",,"188",,,,,,,,,"CONTACT KNOB",,,,,,,,,,,,,,,,,
"218","20000360",,"3",,,,,,,,,"HOSE HIGH PRESSURE",,,,,,,,,,,,,,,,,
"219","10341081",,"274",,,,,,,,,"FILM FINGERPRINT LIFTING",,,,,,,,,,,,,,,,,
"220","33721",,"313",,,,,,,,,"AUXILARY WATER TANK",,,,,,,,,,,,,,,,,
"221","20000199",,"372",,,,,,,,,"WEIGHT 65 GM",,,,,,,,,,,,,,,,,
"222","10331151",,"1",,,,,,,,,"CLUTCH BOOSTER",,,,,,,,,,,,,,,,,
"223","34281",,"428",,,,,,,,,"CABLE ASSY RADIO FRQ CO-AXIAL 125MM LONG",,,,,,,,,,,,,,,,,
"224","18998",,"174",,,,,,,,,"GASKET CYLINDER HEAD COVER",,,,,,,,,,,,,,,,,
"225","20000049",,"181",,,,,,,,,"VALVE PLATE ASSY",,,,,,,,,,,,,,,,,
"226","10535495",,"494",,,,,,,,,"CLOTH COATED LEATHER PVC LIGHT GREY 127-",,,,,,,,,,,,,,,,,
"227","18709",,"47",,,,,,,,,"PAPER WRAPPING 735 X 1120 MM X 0.04 MM",,,,,,,,,,,,,,,,,
"228","10341705",,"153",,,,,,,,,"TRAFFICATOR ASSY LH FRONT",,,,,,,,,,,,,,,,,
"229","34610",,"475",,,,,,,,,"FUSE BOX",,,,,,,,,,,,,,,,,
"230","29514",,"52",,,,,,,,,"Selector Plate 3rd and 4th",,,,,,,,,,,,,,,,,
"231","36768",,"98",,,,,,,,,"VALVE DELIVERY",,,,,,,,,,,,,,,,,
"232","15738",,"470",,,,,,,,,"SPACER 5.8MM",,,,,,,,,,,,,,,,,
"233","34713",,"413",,,,,,,,,"TAPPER ROLLER BRG",,,,,,,,,,,,,,,,,
"234","34064",,"488",,,,,,,,,"COIL SYSTEM 1-3",,,,,,,,,,,,,,,,,
"235","33778",,"35",,,,,,,,,"SEAL PLAIN (101 111 014 594)",,,,,,,,,,,,,,,,,
"236","33898",,"446",,,,,,,,,"OIL COOLER GASKET",,,,,,,,,,,,,,,,,
"237","28932",,"274",,,,,,,,,"WEATHER STRIP DOOR OUTER",,,,,,,,,,,,,,,,,
"238","33668",,"420",,,,,,,,,"AMP METER",,,,,,,,,,,,,,,,,
"239","22901",,"216",,,,,,,,,"STUDE",,,,,,,,,,,,,,,,,
"240","33625",,"144",,,,,,,,,"CABLE STARTING MOTOR",,,,,,,,,,,,,,,,,
"241","28625",,"289",,,,,,,,,"Motor assy starting",,,,,,,,,,,,,,,,,
"242","34419",,"362",,,,,,,,,"TRAFFICATOR ASSY FRONT RH",,,,,,,,,,,,,,,,,
"243","23244",,"428",,,,,,,,,"PAINT RFU ENA LIGHT BLUE",,,,,,,,,,,,,,,,,
"244","10414461",,"286",,,,,,,,,"SOLDER SOFT GRADE-F  ROSIN CORED 50  TIN",,,,,,,,,,,,,,,,,
"245","20000540",,"366",,,,,,,,,"BONET LOCK",,,,,,,,,,,,,,,,,
"246","36280",,"370",,,,,,,,,"GASKET TIMING GEAR COVER",,,,,,,,,,,,,,,,,
"247","36001",,"348",,,,,,,,,"SYNCHRO RING 1st AND 2nd",,,,,,,,,,,,,,,,,
"248","35832",,"361",,,,,,,,,"GRIP COMPLETE THROTTLE RH",,,,,,,,,,,,,,,,,
"249","37917",,"257",,,,,,,,,"POWER STEERING GEAR ASSY",,,,,,,,,,,,,,,,,
"250","34016",,"387",,,,,,,,,"SELECTOR FORK SHAFT",,,,,,,,,,,,,,,,,
"251","10406981",,"157",,,,,,,,,"EXCTRACTOR SMALL ARMS CARTRIDGE",,,,,,,,,,,,,,,,,
"252","35674",,"400",,,,,,,,,"COPPER WASHER 18 DIA",,,,,,,,,,,,,,,,,
"253","15739",,"51",,,,,,,,,"SPACER WASHER 5.1 MM",,,,,,,,,,,,,,,,,
"254","10448589",,"196",,,,,,,,,"PANEL FRONT",,,,,,,,,,,,,,,,,
"255","23080",,"48",,,,,,,,,"FELT WHEEL SPOKE INNER",,,,,,,,,,,,,,,,,
"256","28257",,"108",,,,,,,,,"VALVE GUIDE",,,,,,,,,,,,,,,,,
"257","10463309",,"136",,,,,,,,,"TENSIONER BELT",,,,,,,,,,,,,,,,,
"258","34150",,"423",,,,,,,,,"SCREW  CAP  HEXAGON HEAD",,,,,,,,,,,,,,,,,
"259","37088",,"477",,,,,,,,,"OIL FILTER",,,,,,,,,,,,,,,,,
"260","34843",,"482",,,,,,,,,"SURPLUS OIL RETURN TUBE",,,,,,,,,,,,,,,,,
"261","34327",,"256",,,,,,,,,"'O' RING",,,,,,,,,,,,,,,,,
"262","34245",,"361",,,,,,,,,"CLUTCH MAGNETIC NON-VEHICULAR/OVER",,,,,,,,,,,,,,,,,
