"faultid","subcatcode","refsubsystem","faultcode","faultnumber","faults","repairtimeh","repairtimem","remarks","nooftrademen","workdone","critical","scheduled","disable"
"22","909.0","2.0","15.0","A00002015","Air sys leaking  (AIR CHARGING) A00002015","0.0","30.0","NaN","1.0","NaN","0","1","0"
"23","909.0","2.0","16.0","A00002016","APR N/W (AIR CHARGING) A00002016","0.0","30.0","NaN","1.0","NaN","0","1","0"
"24","909.0","2.0","17.0","A00002017","EPV faulty & air leaking (AIR CHARGING) A00002017","0.0","30.0","NaN","1.0","NaN","0","1","0"
"25","909.0","2.0","18.0","A00002018","Partial Brake N/W (AIR CHARGING) A00002018","0.0","30.0","NaN","1.0","NaN","0","1","0"
"26","909.0","2.0","19.0","A00002019","Reducer  leaking (AIR CHARGING) A00002019","0.0","30.0","NaN","1.0","NaN","0","1","0"
"27","909.0","2.0","20.0","A00002020","Reducer N/W (AIR CHARGING) A00002020","0.0","30.0","NaN","1.0","NaN","0","1","0"
"28","909.0","2.0","21.0","A00002021","Rt side air bottle leaking (AIR CHARGING) A00002021","0.0","30.0","NaN","1.0","NaN","0","1","0"
"29","909.0","2.0","22.0","A00002022","Sediment drain valve N/W (AIR CHARGING) A00002022","0.0","30.0","NaN","1.0","NaN","1","1","0"
"30","909.0","3.0","1.0","A00003001","Air cleaner dirty (AIR INTAKE SYS) A00003001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"31","909.0","3.0","2.0","A00003002","Air distributor timing disturbed (AIR INTAKE SYS) A00003002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"32","909.0","3.0","3.0","A00003003","Air Sys N/W (AIR INTAKE SYS) A00003003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"33","909.0","3.0","4.0","A00003004","Anti Surge plate bend (AIR INTAKE SYS) A00003004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"34","909.0","3.0","5.0","A00003005","Sediment drain cock N/W  (AIR INTAKE SYS) A00003005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"35","909.0","3.0","6.0","A00003006","Air cleaner hose perished (AIR INTAKE SYS) A00003006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"36","909.0","4.0","1.0","A00004001","After firing gun lock (ALG_ARMT) A00004001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"37","909.0","4.0","2.0","A00004002","CLM not N/W (ALG_ARMT) A00004002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"38","909.0","4.0","3.0","A00004003","Delivery window n/w (ALG_ARMT) A00004003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"39","909.0","4.0","4.0","A00004004","Flap gate RH N/W (ALG_ARMT) A00004004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"40","909.0","4.0","5.0","A00004005","Flap gate LH N/W (ALG_ARMT) A00004005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"41","909.0","4.0","6.0","A00004006","Fitment of new rammer assy (ALG_ARMT) A00004006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"42","909.0","4.0","7.0","A00004007","Gun not locking at 4.5 deg  (ALG_ARMT) A00004007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"43","909.0","4.0","8.0","A00004008","Lt side rammer pad UNSV (ALG_ARMT) A00004008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"44","909.0","4.0","9.0","A00004009","Rammer chain not functioning properly (ALG_ARMT) A00004009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"45","909.0","4.0","10.0","A00004010","Rammer cyl leaking (ALG_ARMT) A00004010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"46","909.0","4.0","11.0","A00004011","Rammer Assy N/W (ALG_ARMT) A00004011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"47","909.0","4.0","12.0","A00004012","Rammer flap gate perished (ALG_ARMT) A00004012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"48","909.0","4.0","13.0","A00004013","Rammer flap remains flat while loading (ALG_ARMT) A00004013","0.0","30.0","NaN","1.0","NaN","0","1","0"
"49","909.0","4.0","14.0","A00004014","Rammer gets jammed on loading tray while operating- (ALG_ARMT) A00004014","0.0","30.0","NaN","1.0","NaN","0","1","0"
"50","909.0","4.0","15.0","A00004015","Rammer move slow (ALG_ARMT) A00004015","0.0","30.0","NaN","1.0","NaN","0","1","0"
"51","909.0","4.0","16.0","A00004016","Rammer moves fwd but does return (ALG_ARMT) A00004016","0.0","30.0","NaN","1.0","NaN","0","1","0"
"52","909.0","4.0","17.0","A00004017","Rammer pad left and right pad UNSV- (ALG_ARMT) A00004017","0.0","30.0","NaN","1.0","NaN","0","1","0"
"53","909.0","4.0","18.0","A00004018","No control on fwd movement of rammer (ALG_ARMT) A00004018","0.0","30.0","NaN","1.0","NaN","0","1","0"
"54","909.0","5.0","1.0","A00005001","ALG & RC N/W (ALG_GCE) A00005001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"55","909.0","5.0","2.0","A00005002","Auto Loader N/W (ALG_GCE) A00005002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"56","909.0","5.0","3.0","A00005003","Auto loader and firing cct N/W  (ALG_GCE) A00005003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"57","909.0","5.0","4.0","A00005004","Belt feed motor faulty (ALG_GCE) A00005004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"58","909.0","5.0","5.0","A00005005","Cradle slip on RC (ALG_GCE) A00005005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"59","909.0","5.0","6.0","A00005006","Cartridge base not getting held in trap (ALG_GCE) A00005006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"60","909.0","5.0","7.0","A00005007","Cartridge case does not eject  (ALG_GCE) A00005007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"61","909.0","5.0","8.0","A00005008","Cartridge base disposal mech N/W (ALG_GCE) A00005008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"62","909.0","5.0","9.0","A00005009","Cassette damaged  (ALG_GCE) A00005009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"63","909.0","5.0","10.0","A00005010","Cassette lifting mech electromagnet faulty (ALG_GCE) A00005010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"64","909.0","5.0","11.0","A00005011","CBDM Electromagnet faulty  (ALG_GCE) A00005011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"65","909.0","5.0","12.0","A00005012","CBDM faulty (ALG_GCE) A00005012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"66","909.0","5.0","13.0","A00005013","CBDM N/W (ALG_GCE) A00005013","0.0","30.0","NaN","1.0","NaN","0","1","0"
"67","909.0","5.0","14.0","A00005014","Cell does not align with CLM lock (ALG_GCE) A00005014","0.0","30.0","NaN","1.0","NaN","0","1","0"
"68","909.0","5.0","15.0","A00005015","Cell lifting mech faulty (ALG_GCE) A00005015","0.0","30.0","NaN","1.0","NaN","0","1","0"
"69","909.0","5.0","16.0","A00005016","Cell position sending unit faulty (ALG_GCE) A00005016","0.0","30.0","NaN","1.0","NaN","0","1","0"
"70","909.0","5.0","17.0","A00005017","CLM N/W (ALG_GCE) A00005017","0.0","30.0","NaN","1.0","NaN","0","1","0"
"71","909.0","5.0","18.0","A00005018","Control unit BU-185-2S faulty (ALG_GCE) A00005018","0.0","30.0","NaN","1.0","NaN","0","1","0"
"72","909.0","5.0","19.0","A00005019","CPSU & Frame mech faulty (ALG_GCE) A00005019","0.0","30.0","NaN","1.0","NaN","0","1","0"
"73","909.0","5.0","20.0","A00005020","Dist Box KR-175 faulty  (ALG_GCE) A00005020","0.0","30.0","NaN","1.0","NaN","0","1","0"
"74","909.0","5.0","21.0","A00005021","Dist Box KR-185-3S faulty (ALG_GCE) A00005021","0.0","30.0","NaN","1.0","NaN","0","1","0"
"75","909.0","5.0","22.0","A00005022","Double feeding of rounds (ALG_GCE) A00005022","0.0","30.0","NaN","1.0","NaN","0","1","0"
"76","909.0","5.0","23.0","A00005023","During GM loading CLM N/W (ALG_GCE) A00005023","0.0","30.0","NaN","1.0","NaN","0","1","0"
"77","909.0","5.0","24.0","A00005024","Exhaust blower faulty  (ALG_GCE) A00005024","0.0","30.0","NaN","1.0","NaN","0","1","0"
"78","909.0","5.0","25.0","A00005025","Electro magnet EM-10 faulty (ALG_GCE) A00005025","0.0","30.0","NaN","1.0","NaN","0","1","0"
"79","909.0","5.0","26.0","A00005026","Feed gate Faulty (ALG_GCE) A00005026","0.0","30.0","NaN","1.0","NaN","0","1","0"
"80","909.0","5.0","27.0","A00005027","Feed tray/lever bkn (ALG_GCE) A00005027","0.0","30.0","NaN","1.0","NaN","0","1","0"
"81","909.0","5.0","28.0","A00005028","Feeding Chain linkage bkn (ALG_GCE) A00005028","0.0","30.0","NaN","1.0","NaN","0","1","0"
"82","909.0","5.0","29.0","A00005029","Frame electromagnet faulty (ALG_GCE) A00005029","0.0","30.0","NaN","1.0","NaN","0","1","0"
"83","909.0","5.0","30.0","A00005030","Frame Mech faulty (ALG_GCE) A00005030","0.0","30.0","NaN","1.0","NaN","0","1","0"
"84","909.0","5.0","31.0","A00005031","Frame reduction gear mech faulty (ALG_GCE) A00005031","0.0","30.0","NaN","1.0","NaN","0","1","0"
"85","909.0","5.0","32.0","A00005032","Frame reduction mech faulty (ALG_GCE) A00005032","0.0","30.0","NaN","1.0","NaN","0","1","0"
"86","909.0","5.0","33.0","A00005033","GSD faulty (ALG_GCE) A00005033","0.0","30.0","NaN","1.0","NaN","0","1","0"
"87","909.0","5.0","34.0","A00005034","Gun does not come to loading angle (ALG_GCE) A00005034","0.0","30.0","NaN","1.0","NaN","0","1","0"
"88","909.0","5.0","35.0","A00005035","Gun vibrates in GM Mode (ALG_GCE) A00005035","0.0","30.0","NaN","1.0","NaN","0","1","0"
"89","909.0","5.0","36.0","A00005036","LCU and memory unit N/W (ALG_GCE) A00005036","0.0","30.0","NaN","1.0","NaN","0","1","0"
"90","909.0","5.0","37.0","A00005037","Loading control panel PZ-185-1S faulty (ALG_GCE) A00005037","0.0","30.0","NaN","1.0","NaN","0","1","0"
"91","909.0","5.0","38.0","A00005038","Memory unit N/W (ALG_GCE) A00005038","0.0","30.0","NaN","1.0","NaN","0","1","0"
"92","909.0","5.0","39.0","A00005039","Primer feeding defective (ALG_GCE) A00005039","0.0","30.0","NaN","1.0","NaN","0","1","0"
"93","909.0","5.0","40.0","A00005040","RC Cassette not aligned (ALG_GCE) A00005040","0.0","30.0","NaN","1.0","NaN","0","1","0"
"94","909.0","5.0","41.0","A00005041","RC auto manual lock N/W (ALG_GCE) A00005041","0.0","30.0","NaN","1.0","NaN","0","1","0"
"95","909.0","5.0","42.0","A00005042","RC Cable N/W  (ALG_GCE) A00005042","0.0","30.0","NaN","1.0","NaN","0","1","0"
"96","909.0","5.0","43.0","A00005043","RC Fork lever Bkn (ALG_GCE) A00005043","0.0","30.0","NaN","1.0","NaN","0","1","0"
"97","909.0","5.0","44.0","A00005044","RC N/W (ALG_GCE) A00005044","0.0","30.0","NaN","1.0","NaN","0","1","0"
"98","909.0","5.0","45.0","A00005045","RC Electromagnet n/w (ALG_GCE) A00005045","0.0","30.0","NaN","1.0","NaN","0","1","0"
"99","909.0","5.0","46.0","A00005046","Rotary conveyor electro magnet faulty (ALG_GCE) A00005046","0.0","30.0","NaN","1.0","NaN","0","1","0"
"100","909.0","5.0","47.0","A00005047","Spent cartridge case not being ejected (ALG_GCE) A00005047","0.0","30.0","NaN","1.0","NaN","0","1","0"
"101","909.0","6.0","1.0","A00006001","Capacitor Box N/W  (ALNS/GPS) A00006001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"102","909.0","6.0","2.0","A00006002","CDU N/W  (ALNS/GPS) A00006002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"103","909.0","6.0","3.0","A00006003","DDU N/W (ALNS/GPS) A00006003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"104","909.0","6.0","4.0","A00006004","INU N/W (ALNS/GPS) A00006004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"105","909.0","6.0","5.0","A00006005","Posn Indicator N/W (ALNS/GPS) A00006005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"106","909.0","7.0","1.0","A00007001","AM unit faulty/bkn (AM-9050) A00007001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"107","909.0","8.0","1.0","A00008001","ANT bkn/faulty  (ANT & AMU) A00008001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"108","909.0","9.0","1.0","A00009001","Brl cracked 6” from muzzle end (BARREL) A00009001","4.0","30.0","NaN","1.0","NaN","0","1","0"
"109","909.0","9.0","2.0","A00009002","Brl burst (BARREL) A00009002","12.0","0.0","NaN","2.0","NaN","0","1","0"
"110","909.0","9.0","3.0","A00009003","Brl Spring bkn (BARREL) A00009003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"111","909.0","9.0","4.0","A00009004","Chipping of Lands (BARREL) A00009004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"112","909.0","9.0","5.0","A00009005","Deep pitting in grooves (BARREL) A00009005","8.0","30.0","NaN","2.0","NaN","0","1","0"
"113","909.0","9.0","6.0","A00009006","Extractor plunger with spring damage (BARREL) A00009006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"114","909.0","9.0","7.0","A00009007","Fume extractor leaking (BARREL) A00009007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"115","909.0","9.0","8.0","A00009008","Fume extractor locking pawl bolt bkn (BARREL) A00009008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"116","909.0","9.0","9.0","A00009009","Gas fouling at C of R (BARREL) A00009009","0.0","30.0","NaN","2.0","NaN","0","1","0"
"117","909.0","9.0","10.0","A00009010","Gasket unsv and thermal jacket No. 1,2, 3 & 4 bkn (BARREL) A00009010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"118","909.0","9.0","11.0","A00009011","Lower Extractor Bkn  (BARREL) A00009011","0.0","30.0","NaN","2.0","NaN","0","1","0"
"119","909.0","9.0","12.0","A00009012","Main gun mantlet cover not fitted properly (BARREL) A00009012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"120","909.0","9.0","13.0","A00009013","Metal chipped out from breech end face of the Brl (BARREL) A00009013","0.0","30.0","NaN","1.0","NaN","0","1","0"
"121","909.0","9.0","14.0","A00009014","Rounds not hitting on tgt, sight alignment- (BARREL) A00009014","0.0","30.0","NaN","1.0","NaN","1","1","0"
"122","909.0","9.0","15.0","A00009015","Rubber mantlet gasket seal perished (BARREL) A00009015","0.0","30.0","NaN","1.0","NaN","0","1","0"
"123","909.0","9.0","16.0","A00009016","Scoring  (BARREL) A00009016","0.0","30.0","NaN","1.0","NaN","0","1","0"
"124","909.0","9.0","17.0","A00009017","Sec-II & III thermal jacket bkn (BARREL) A00009017","0.0","30.0","NaN","1.0","NaN","0","1","1"
"125","909.0","9.0","18.0","A00009018","Thermal jacket bkn (BARREL) A00009018","0.0","30.0","NaN","1.0","NaN","0","1","1"
"126","909.0","9.0","19.0","A00009019","Muzzle brake metal chipped  (BARREL) A00009019","0.0","30.0","NaN","1.0","NaN","0","1","0"
"127","909.0","9.0","20.0","A00009020","Baffles Chipped off (BARREL) A00009020","0.0","30.0","NaN","1.0","NaN","0","1","0"
"128","909.0","9.0","21.0","A00009021","Muzzle Brake loose (BARREL) A00009021","0.0","30.0","NaN","1.0","NaN","0","1","0"
"129","909.0","10.0","1.0","A00010001","Brake efficiency poor  (BRAKE SYS) A00010001","0.0","30.0","NaN","1.0","NaN","1","1","0"
"130","909.0","10.0","2.0","A00010002","Hyd Brake Booster N/W (BRAKE SYS) A00010002","0.0","30.0","NaN","1.0","NaN","1","1","0"
"131","909.0","10.0","3.0","A00010003","Hyd brake N/W  (BRAKE SYS) A00010003","0.0","30.0","NaN","1.0","NaN","1","1","0"
"132","909.0","10.0","4.0","A00010004","Brake pedal hard  (BRAKE SYS) A00010004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"133","909.0","10.0","5.0","A00010005","Linkage adj disturbed (BRAKE SYS) A00010005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"134","909.0","11.0","1.0","A00011001","Barrel bulged - CO_AXIALMMG (CO_AXIAL MMG) A00011001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"135","909.0","11.0","2.0","A00011002","Cocking Handle bkn - CO (CO_AXIAL MMG) A00011002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"136","909.0","11.0","3.0","A00011003","Combine cock N/W - CO (CO_AXIAL MMG) A00011003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"137","909.0","11.0","4.0","A00011004","Bracket mounting bkn (CO_AXIAL MMG) A00011004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"138","909.0","11.0","5.0","A00011005","Cocking Spring bkn/weak (CO_AXIAL MMG) A00011005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"139","909.0","11.0","6.0","A00011006","Cocking mech faulty  (CO_AXIAL MMG) A00011006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"140","909.0","11.0","7.0","A00011007","Firing pin bent/Bkn - CO_AXIALMMG (CO_AXIAL MMG) A00011007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"141","909.0","11.0","8.0","A00011008","MMG barrel pitted (CO_AXIAL MMG) A00011008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"142","909.0","11.0","9.0","A00011009","MMG body bulged  (CO_AXIAL MMG) A00011009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"143","909.0","12.0","1.0","A00012001","Parking brake locked but gear operation possible  (CONTROL LINKAGE) A00012001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"144","909.0","12.0","2.0","A00012002","Clutch linkage W/O/bkn  (CONTROL LINKAGE) A00012002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"145","909.0","12.0","3.0","A00012003","Clutch pedal excessive play  (CONTROL LINKAGE) A00012003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"146","909.0","12.0","4.0","A00012004","Clutch not functioning properly  (CONTROL LINKAGE) A00012004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"147","909.0","12.0","5.0","A00012005","Gear locking lever spring bkn (CONTROL LINKAGE) A00012005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"148","909.0","12.0","6.0","A00012006","RPM hand throttle up & down (CONTROL LINKAGE) A00012006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"149","909.0","12.0","7.0","A00012007","Txn compartment shutter lock in open position  (CONTROL LINKAGE) A00012007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"150","909.0","13.0","1.0","A00013001","Both cyl head water leaking (COOLING SYS) A00013001","0.0","30.0","NaN","1.0","NaN","1","1","0"
"151","909.0","13.0","2.0","A00013002","Coolant leaking from blow hole in RH block  (COOLING SYS) A00013002","0.0","30.0","NaN","1.0","NaN","1","1","0"
"152","909.0","13.0","3.0","A00013003","Coolant leaking from Radiator inlet hose (COOLING SYS) A00013003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"153","909.0","13.0","4.0","A00013004","Cooling fan blade bkn  (COOLING SYS) A00013004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"154","909.0","13.0","5.0","A00013005","Coolant hose perished  (COOLING SYS) A00013005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"155","909.0","13.0","6.0","A00013006","Cooling installation faulty  (COOLING SYS) A00013006","0.0","30.0","NaN","1.0","NaN","1","1","0"
"156","909.0","13.0","7.0","A00013007","Jacketing pipe hose perished  (COOLING SYS) A00013007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"157","909.0","13.0","8.0","A00013008","PVRV N/W  (COOLING SYS) A00013008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"158","909.0","13.0","9.0","A00013009","Radiator hose pipe leaking (COOLING SYS) A00013009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"159","909.0","13.0","10.0","A00013010","Radiator Inlet hose Unsv (COOLING SYS) A00013010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"160","909.0","13.0","11.0","A00013011","Radiator leaking  (COOLING SYS) A00013011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"161","909.0","13.0","12.0","A00013012","Water Hose leaking (COOLING SYS) A00013012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"162","909.0","13.0","13.0","A00013013","Water leaking  (COOLING SYS) A00013013","0.0","30.0","NaN","1.0","NaN","0","1","0"
"163","909.0","13.0","14.0","A00013014","Water pump leaking  (COOLING SYS) A00013014","0.0","30.0","NaN","1.0","NaN","0","1","0"
"164","909.0","13.0","15.0","A00013015","Water pump drive shaft bkn (COOLING SYS) A00013015","0.0","30.0","NaN","1.0","NaN","1","1","0"
"165","909.0","13.0","16.0","A00013016","Water pump gland washer/oil seal perished  (COOLING SYS) A00013016","0.0","30.0","NaN","1.0","NaN","0","1","0"
"166","909.0","13.0","17.0","A00013017","Water Temp High (COOLING SYS) A00013017","0.0","30.0","NaN","1.0","NaN","0","1","0"
"167","909.0","14.0","1.0","A00014001","Charging Gen N/W (ELECT_CHARGING SYS) A00014001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"168","909.0","14.0","2.0","A00014002","Bty not Charging  (ELECT_CHARGING SYS) A00014002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"169","909.0","14.0","3.0","A00014003","Genr N/W  (ELECT_CHARGING SYS) A00014003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"170","909.0","14.0","4.0","A00014004","Relay of voltage regulator faulty  (ELECT_CHARGING SYS) A00014004","0.0","30.0","relay jitter","1.0","NaN","0","1","0"
"171","909.0","14.0","5.0","A00014005","Ampere meter N/W  (ELECT_CHARGING SYS) A00014005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"172","909.0","14.0","6.0","A00014006","Voltmeter N/W (ELECT_CHARGING SYS) A00014006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"173","909.0","14.0","7.0","A00014007","Solenoid N/W (ELECT_CHARGING SYS) A00014007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"174","909.0","14.0","8.0","A00014008","Solenoid valve HF 97 defective (ELECT_CHARGING SYS) A00014008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"175","909.0","14.0","9.0","A00014009","Voltage Regulator N/W (ELECT_CHARGING SYS) A00014009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"176","909.0","15.0","1.0","A00015001","Elevating gear hard (ELEVATING GEAR) A00015001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"177","909.0","15.0","2.0","A00015002","Hand Wheel Rotating Freely  (ELEVATING GEAR) A00015002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"178","909.0","15.0","3.0","A00015003","Hard rotation of elevating gear- (ELEVATING GEAR) A00015003","3.0","0.0","NaN","1.0","NaN","0","1","1"
"179","909.0","15.0","4.0","A00015004","Hard rotation of elevating gear- (ELEVATING GEAR) A00015004","0.0","30.0","NaN","1.0","NaN","0","1","1"
"180","909.0","16.0","1.0","A00016001","10A Fuse of protection unit blowing off when sw ON (ELEVATION AND  TRAVERSE MECH) A00016001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"181","909.0","16.0","2.0","A00016002","20A fuse on Sight TPD-K1 burnt out  (ELEVATION AND  TRAVERSE MECH) A00016002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"182","909.0","16.0","3.0","A00016003","Actuating Cylinder faulty (ELEVATION AND  TRAVERSE MECH) A00016003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"183","909.0","16.0","4.0","A00016004","Amplidyne faulty (ELEVATION AND  TRAVERSE MECH) A00016004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"184","909.0","16.0","5.0","A00016005","Cdr ctrl handle N/W (ELEVATION AND  TRAVERSE MECH) A00016005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"185","909.0","16.0","6.0","A00016006","Cdr overide faulty (ELEVATION AND  TRAVERSE MECH) A00016006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"186","909.0","16.0","7.0","A00016007","Control console of Sight 1G 46 defective (ELEVATION AND  TRAVERSE MECH) A00016007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"187","909.0","16.0","8.0","A00016008","Control Panel Faulty (ELEVATION AND  TRAVERSE MECH) A00016008","0.0","30.0","NaN","1.0","NaN","0","1","0"
