"id","erid","cat","eqptstatus","eqptfunctionalstatus","userunit","catasperfrs","issuetype","dataentryclkname","datedataentry","code","regnno","nomenclature","eoavordate","pssdate","dependentwksp","dtofissue","vintagedate","wtystartdate","wtyduration","maineqptlink1","maineqptlink2","remarksasperfrs","repairprogress","tentativedaterepair","contactperson","inkm","chassisno","chassiskm","userchassiskm","userkm","usereqptstatus","userremarks","userupdate","splnotes","eqptloc","regimental_serno","disable"
"11",,"126",,,"105",,,,,,"01WW163107G","Tata Sumo Lt Amb",,,,"2009-10-30 00:00:00",,,,,,,,,,"112366",,,,,,,,,,,
"12",,"129",,,"113",,,,,,"02HK420915H","Ashok Leyland Stallion 6x6",,,,"2005-02-22 00:00:00",,,,,,,,,,"199626",,,,,,,,,,,
"13",,"162",,,"90",,,,,,"02HL276638S","Volvo FMX 440 8x4",,,,"2013-10-02 00:00:00",,,,,,,,,,"170999",,,,,,,,,,,
"14",,"167",,,"106",,,,,,"02JL869767T","Nissan Patrol 4x4",,,,"2019-08-21 00:00:00",,,,,,,,,,"154994",,,,,,,,,,,
"15",,"165",,,"107",,,,,,"02NR065931D","Isuzu D-MAX Pickup",,,,"2009-03-27 00:00:00",,,,,,,,,,"185649",,,,,,,,,,,
"16",,"144",,,"92",,,,,,"02RS750482K","Force Motors Traveller 3050",,,,"2010-07-18 00:00:00",,,,,,,,,,"100655",,,,,,,,,,,
"17",,"132",,,"98",,,,,,"03BT065092G","Bajaj Chetak Scooter",,,,"2015-02-23 00:00:00",,,,,,,,,,"24990",,,,,,,,,,,
"18",,"158",,,"105",,,,,,"03EE157224V","Piaggio Ape Auto Rickshaw",,,,"2023-11-27 00:00:00",,,,,,,,,,"166874",,,,,,,,,,,
"19",,"153",,,"106",,,,,,"04AN814209B","Honda Activa 125cc",,,,"2017-02-09 00:00:00",,,,,,,,,,"26234",,,,,,,,,,,
"20",,"125",,,"113",,,,,,"04DQ692998Y","Swaraj Mazda",,,,"2024-05-02 00:00:00",,,,,,,,,,"141022",,,,,,,,,,,
"21",,"145",,,"100",,,,,,"04KB390191U","Ashok Leyland Bus 1616H",,,,"2018-10-05 00:00:00",,,,,,,,,,"110525",,,,,,,,,,,
"22",,"161",,,"113",,,,,,"04KG283201S","Scania P410 Tipper",,,,"2019-02-04 00:00:00",,,,,,,,,,"31410",,,,,,,,,,,
"23",,"133",,,"112",,,,,,"04KM344049W","Yezdi 250cc Motorcycle",,,,"2011-01-06 00:00:00",,,,,,,,,,"47278",,,,,,,,,,,
"24",,"127",,,"106",,,,,,"04LK623537N","LCV DCM Toyota Dyna",,,,"2009-04-21 00:00:00",,,,,,,,,,"114046",,,,,,,,,,,
"25",,"121",,,"94",,,,,,"04LR176827B","Maruti Gypsy (All Models)",,,,"2006-05-04 00:00:00",,,,,,,,,,"119391",,,,,,,,,,,
"26",,"123",,,"95",,,,,,"04MC501577F","LCV 2.5 Ton LPTA 713/715",,,,"2014-01-22 00:00:00",,,,,,,,,,"26690",,,,,,,,,,,
"27",,"142",,,"94",,,,,,"04MH660302R","Tata Indigo LS",,,,"2018-07-15 00:00:00",,,,,,,,,,"172742",,,,,,,,,,,
"28",,"128",,,"98",,,,,,"04MK813284X","Ashok Leyland Stallion 4x4",,,,"2015-01-22 00:00:00",,,,,,,,,,"110518",,,,,,,,,,,
"29",,"123",,,"115",,,,,,"04XH936076R","LCV 2.5 Ton LPTA 713/715",,,,"2009-09-03 00:00:00",,,,,,,,,,"53043",,,,,,,,,,,
"30",,"13",,,"111",,,,,,"05VM904951T","MC 100cc Hero Honda CD-100",,,,"2019-01-02 00:00:00",,,,,,,,,,"18002",,,,,,,,,,,
"31",,"141",,,"86",,,,,,"05XG016725X","Tata Indica V2 Diesel",,,,"2016-05-14 00:00:00",,,,,,,,,,"73340",,,,,,,,,,,
"32",,"156",,,"94",,,,,,"06CG104932S","Yamaha FZ-S V3 150cc",,,,"2017-12-11 00:00:00",,,,,,,,,,"26113",,,,,,,,,,,
"33",,"133",,,"112",,,,,,"06JT530341K","Yezdi 250cc Motorcycle",,,,"2014-04-24 00:00:00",,,,,,,,,,"57339",,,,,,,,,,,
"34",,"137",,,"102",,,,,,"06NR182997F","Mahindra Bolero SLX",,,,"2009-04-06 00:00:00",,,,,,,,,,"32415",,,,,,,,,,,
"35",,"156",,,"87",,,,,,"06WD861638Q","Yamaha FZ-S V3 150cc",,,,"2019-10-16 00:00:00",,,,,,,,,,"10052",,,,,,,,,,,
"36",,"149",,,"109",,,,,,"07BN212050A","Escort Tractor 60 HP",,,,"2005-11-10 00:00:00",,,,,,,,,,"128166",,,,,,,,,,,
"37",,"14",,,"91",,,,,,"07HM754076C","M/C 350cc R/E",,,,"2019-04-26 00:00:00",,,,,,,,,,"33954",,,,,,,,,,,
"38",,"155",,,"104",,,,,,"07JL342035M","Yamaha RX-100",,,,"2022-02-03 00:00:00",,,,,,,,,,"194637",,,,,,,,,,,
"39",,"146",,,"109",,,,,,"07QU283569X","Eicher Canter 10.75",,,,"2022-01-25 00:00:00",,,,,,,,,,"148270",,,,,,,,,,,
"40",,"166",,,"107",,,,,,"08AX189234O","Toyota Hilux Pickup",,,,"2014-11-15 00:00:00",,,,,,,,,,"75694",,,,,,,,,,,
"41",,"160",,,"95",,,,,,"08CC344867H","Tata Prima 4028 Truck",,,,"2010-04-03 00:00:00",,,,,,,,,,"116695",,,,,,,,,,,
"42",,"140",,,"101",,,,,,"08IV687825H","Maruti Zen (All Models)",,,,"2019-03-27 00:00:00",,,,,,,,,,"144156",,,,,,,,,,,
"43",,"140",,,"95",,,,,,"08IX790996F","Maruti Zen (All Models)",,,,"2015-10-06 00:00:00",,,,,,,,,,"96631",,,,,,,,,,,
"44",,"148",,,"103",,,,,,"08RY761017U","JCB Excavator 3DX",,,,"2006-07-16 00:00:00",,,,,,,,,,"169996",,,,,,,,,,,
"45",,"122",,,"104",,,,,,"08TA929450U","Jeep M&M 550XD",,,,"2005-05-19 00:00:00",,,,,,,,,,"113973",,,,,,,,,,,
"46",,"157",,,"86",,,,,,"08WB850276W","Suzuki Access 125cc",,,,"2005-10-02 00:00:00",,,,,,,,,,"120576",,,,,,,,,,,
"47",,"13",,,"114",,,,,,"09BH071711O","MC 100cc Hero Honda CD-100",,,,"2019-07-09 00:00:00",,,,,,,,,,"93756",,,,,,,,,,,
"48",,"14",,,"90",,,,,,"09EJ331178E","M/C 350cc R/E",,,,"2009-05-25 00:00:00",,,,,,,,,,"54792",,,,,,,,,,,
"49",,"147",,,"113",,,,,,"09FG059370E","BEML Dozer BD-80",,,,"2010-06-24 00:00:00",,,,,,,,,,"23357",,,,,,,,,,,
"50",,"14",,,"90",,,,,,"09GE053628O","M/C 350cc R/E",,,,"2012-10-31 00:00:00",,,,,,,,,,"188064",,,,,,,,,,,
"51",,"150",,,"110",,,,,,"09HH649536O","Swaraj Tractor 744 FE",,,,"2013-04-29 00:00:00",,,,,,,,,,"12862",,,,,,,,,,,
"52",,"149",,,"93",,,,,,"09NQ414951C","Escort Tractor 60 HP",,,,"2020-11-03 00:00:00",,,,,,,,,,"139561",,,,,,,,,,,
"53",,"134",,,"100",,,,,,"10AD223506S","Royal Enfield 500cc Classic",,,,"2018-08-25 00:00:00",,,,,,,,,,"60391",,,,,,,,,,,
"54",,"134",,,"106",,,,,,"10AJ835320Z","Royal Enfield 500cc Classic",,,,"2018-05-03 00:00:00",,,,,,,,,,"55039",,,,,,,,,,,
"55",,"141",,,"102",,,,,,"10BW223097Z","Tata Indica V2 Diesel",,,,"2014-02-12 00:00:00",,,,,,,,,,"44166",,,,,,,,,,,
"56",,"162",,,"99",,,,,,"10DL672525S","Volvo FMX 440 8x4",,,,"2010-12-19 00:00:00",,,,,,,,,,"171575",,,,,,,,,,,
"57",,"147",,,"92",,,,,,"10DR829101K","BEML Dozer BD-80",,,,"2015-08-05 00:00:00",,,,,,,,,,"115387",,,,,,,,,,,
"58",,"164",,,"87",,,,,,"10KW701715I","MAN CLA 49.280 Tractor",,,,"2022-10-20 00:00:00",,,,,,,,,,"15299",,,,,,,,,,,
"59",,"125",,,"97",,,,,,"10YJ002250J","Swaraj Mazda",,,,"2006-09-09 00:00:00",,,,,,,,,,"182771",,,,,,,,,,,
"60",,"136",,,"108",,,,,,"10ZG367071S","Mahindra Commander Jeep",,,,"2024-09-19 00:00:00",,,,,,,,,,"75079",,,,,,,,,,,
"61",,"13",,,"93",,,,,,"11AD497134L","MC 100cc Hero Honda CD-100",,,,"2008-03-17 00:00:00",,,,,,,,,,"4622",,,,,,,,,,,
"62",,"125",,,"105",,,,,,"11BB993840O","Swaraj Mazda",,,,"2016-08-17 00:00:00",,,,,,,,,,"107264",,,,,,,,,,,
"63",,"135",,,"101",,,,,,"12FE481338T","Hero Splendor Plus 100cc",,,,"2022-05-13 00:00:00",,,,,,,,,,"142275",,,,,,,,,,,
"64",,"144",,,"105",,,,,,"12IW391673L","Force Motors Traveller 3050",,,,"2008-04-01 00:00:00",,,,,,,,,,"162237",,,,,,,,,,,
"65",,"125",,,"105",,,,,,"12ND311187J","Swaraj Mazda",,,,"2007-01-03 00:00:00",,,,,,,,,,"103569",,,,,,,,,,,
"66",,"142",,,"92",,,,,,"12NY416132S","Tata Indigo LS",,,,"2010-10-03 00:00:00",,,,,,,,,,"137648",,,,,,,,,,,
"67",,"123",,,"110",,,,,,"12QY560516T","LCV 2.5 Ton LPTA 713/715",,,,"2014-03-15 00:00:00",,,,,,,,,,"126439",,,,,,,,,,,
"68",,"130",,,"108",,,,,,"13BP395561O","Tata 407 LPT",,,,"2023-06-05 00:00:00",,,,,,,,,,"107763",,,,,,,,,,,
"69",,"141",,,"108",,,,,,"13IY243415Z","Tata Indica V2 Diesel",,,,"2014-02-07 00:00:00",,,,,,,,,,"88025",,,,,,,,,,,
"70",,"156",,,"94",,,,,,"13IZ882737V","Yamaha FZ-S V3 150cc",,,,"2023-05-23 00:00:00",,,,,,,,,,"163248",,,,,,,,,,,
"71",,"141",,,"100",,,,,,"13LG588489Q","Tata Indica V2 Diesel",,,,"2022-08-11 00:00:00",,,,,,,,,,"47315",,,,,,,,,,,
"72",,"127",,,"110",,,,,,"13VR283214R","LCV DCM Toyota Dyna",,,,"2011-03-27 00:00:00",,,,,,,,,,"118786",,,,,,,,,,,
"73",,"150",,,"100",,,,,,"13XL352069C","Swaraj Tractor 744 FE",,,,"2007-02-01 00:00:00",,,,,,,,,,"76740",,,,,,,,,,,
"74",,"158",,,"105",,,,,,"14EI648036K","Piaggio Ape Auto Rickshaw",,,,"2021-09-19 00:00:00",,,,,,,,,,"53875",,,,,,,,,,,
"75",,"153",,,"91",,,,,,"14IW304610Q","Honda Activa 125cc",,,,"2010-11-02 00:00:00",,,,,,,,,,"90003",,,,,,,,,,,
"76",,"161",,,"91",,,,,,"14VA666745Q","Scania P410 Tipper",,,,"2005-07-11 00:00:00",,,,,,,,,,"109130",,,,,,,,,,,
"77",,"145",,,"104",,,,,,"14XA229610Z","Ashok Leyland Bus 1616H",,,,"2009-08-18 00:00:00",,,,,,,,,,"145405",,,,,,,,,,,
"78",,"135",,,"92",,,,,,"15JK775134R","Hero Splendor Plus 100cc",,,,"2021-03-28 00:00:00",,,,,,,,,,"192944",,,,,,,,,,,
"79",,"129",,,"97",,,,,,"15TC598304U","Ashok Leyland Stallion 6x6",,,,"2010-07-15 00:00:00",,,,,,,,,,"141059",,,,,,,,,,,
"80",,"120",,,"89",,,,,,"16BV188782W","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2017-11-27 00:00:00",,,,,,,,,,"104822",,,,,,,,,,,
"81",,"14",,,"113",,,,,,"16BX912212G","M/C 350cc R/E",,,,"2014-03-29 00:00:00",,,,,,,,,,"154802",,,,,,,,,,,
"82",,"123",,,"102",,,,,,"16CK727417D","LCV 2.5 Ton LPTA 713/715",,,,"2010-09-13 00:00:00",,,,,,,,,,"25404",,,,,,,,,,,
"83",,"145",,,"90",,,,,,"16NY319422P","Ashok Leyland Bus 1616H",,,,"2015-03-21 00:00:00",,,,,,,,,,"12597",,,,,,,,,,,
"84",,"136",,,"100",,,,,,"16ZO644058A","Mahindra Commander Jeep",,,,"2016-01-10 00:00:00",,,,,,,,,,"197187",,,,,,,,,,,
"85",,"141",,,"86",,,,,,"17GH809481R","Tata Indica V2 Diesel",,,,"2015-05-18 00:00:00",,,,,,,,,,"6622",,,,,,,,,,,
"86",,"159",,,"104",,,,,,"17OP148221N","Ashok Leyland Hippo 10x10",,,,"2022-04-24 00:00:00",,,,,,,,,,"102579",,,,,,,,,,,
"87",,"158",,,"113",,,,,,"17UT155413Z","Piaggio Ape Auto Rickshaw",,,,"2017-12-11 00:00:00",,,,,,,,,,"25966",,,,,,,,,,,
"88",,"139",,,"86",,,,,,"18GC973149C","Maruti Esteem 1300cc",,,,"2016-02-02 00:00:00",,,,,,,,,,"56171",,,,,,,,,,,
"89",,"164",,,"112",,,,,,"18KO877597X","MAN CLA 49.280 Tractor",,,,"2011-06-29 00:00:00",,,,,,,,,,"177630",,,,,,,,,,,
"90",,"150",,,"86",,,,,,"18MB770572U","Swaraj Tractor 744 FE",,,,"2021-11-23 00:00:00",,,,,,,,,,"147514",,,,,,,,,,,
"91",,"147",,,"98",,,,,,"18ZV464575R","BEML Dozer BD-80",,,,"2012-03-13 00:00:00",,,,,,,,,,"174846",,,,,,,,,,,
"92",,"127",,,"106",,,,,,"19GA300833C","LCV DCM Toyota Dyna",,,,"2024-06-22 00:00:00",,,,,,,,,,"116846",,,,,,,,,,,
"93",,"150",,,"96",,,,,,"19GV438353K","Swaraj Tractor 744 FE",,,,"2005-07-16 00:00:00",,,,,,,,,,"65500",,,,,,,,,,,
"94",,"163",,,"110",,,,,,"19KD971961D","Mercedes-Benz Actros 4841K",,,,"2008-05-07 00:00:00",,,,,,,,,,"132888",,,,,,,,,,,
"95",,"127",,,"103",,,,,,"19MN463757S","LCV DCM Toyota Dyna",,,,"2017-10-12 00:00:00",,,,,,,,,,"8550",,,,,,,,,,,
"96",,"137",,,"108",,,,,,"19ZR345629Q","Mahindra Bolero SLX",,,,"2009-01-30 00:00:00",,,,,,,,,,"11294",,,,,,,,,,,
"97",,"146",,,"99",,,,,,"20WD395825I","Eicher Canter 10.75",,,,"2009-11-09 00:00:00",,,,,,,,,,"59873",,,,,,,,,,,
"98",,"124",,,"106",,,,,,"20XW847532S","Tata 3/5 Ton-1015TC/36 & 42 FAT",,,,"2019-02-01 00:00:00",,,,,,,,,,"41122",,,,,,,,,,,
"99",,"14",,,"113",,,,,,"20YZ537288R","M/C 350cc R/E",,,,"2012-09-19 00:00:00",,,,,,,,,,"13333",,,,,,,,,,,
"100",,"140",,,"88",,,,,,"21CU970623A","Maruti Zen (All Models)",,,,"2024-08-18 00:00:00",,,,,,,,,,"107451",,,,,,,,,,,
"101",,"129",,,"105",,,,,,"21GC893629E","Ashok Leyland Stallion 6x6",,,,"2012-10-24 00:00:00",,,,,,,,,,"168054",,,,,,,,,,,
"102",,"155",,,"101",,,,,,"21GV585596E","Yamaha RX-100",,,,"2024-02-27 00:00:00",,,,,,,,,,"90699",,,,,,,,,,,
"103",,"120",,,"106",,,,,,"21HT965843F","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2014-03-22 00:00:00",,,,,,,,,,"198395",,,,,,,,,,,
"104",,"124",,,"115",,,,,,"21OA277046E","Tata 3/5 Ton-1015TC/36 & 42 FAT",,,,"2021-03-16 00:00:00",,,,,,,,,,"94804",,,,,,,,,,,
"105",,"120",,,"99",,,,,,"22FG376818D","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2014-10-20 00:00:00",,,,,,,,,,"79844",,,,,,,,,,,
"106",,"125",,,"94",,,,,,"22UB545728D","Swaraj Mazda",,,,"2005-08-16 00:00:00",,,,,,,,,,"74718",,,,,,,,,,,
"107",,"160",,,"91",,,,,,"22UL597502C","Tata Prima 4028 Truck",,,,"2023-09-23 00:00:00",,,,,,,,,,"196296",,,,,,,,,,,
"108",,"151",,,"98",,,,,,"23EV708425O","Mahindra Tractor 575 DI",,,,"2019-07-19 00:00:00",,,,,,,,,,"161988",,,,,,,,,,,
"109",,"121",,,"113",,,,,,"23JA912834A","Maruti Gypsy (All Models)",,,,"2024-04-26 00:00:00",,,,,,,,,,"47230",,,,,,,,,,,
"110",,"163",,,"91",,,,,,"23QP664736S","Mercedes-Benz Actros 4841K",,,,"2023-05-20 00:00:00",,,,,,,,,,"138033",,,,,,,,,,,
"111",,"120",,,"88",,,,,,"23YL479386H","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2017-10-29 00:00:00",,,,,,,,,,"33072",,,,,,,,,,,
"112",,"154",,,"93",,,,,,"24AH246808P","TVS Apache RTR 160cc",,,,"2010-07-14 00:00:00",,,,,,,,,,"19449",,,,,,,,,,,
"113",,"168",,,"115",,,,,,"24KF397317Y","Land Rover Defender 110",,,,"2014-12-01 00:00:00",,,,,,,,,,"171174",,,,,,,,,,,
"114",,"136",,,"103",,,,,,"24NC408819H","Mahindra Commander Jeep",,,,"2022-01-08 00:00:00",,,,,,,,,,"89290",,,,,,,,,,,
"115",,"120",,,"103",,,,,,"24PU657447R","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2006-06-29 00:00:00",,,,,,,,,,"77697",,,,,,,,,,,
"116",,"158",,,"112",,,,,,"24QJ874671Y","Piaggio Ape Auto Rickshaw",,,,"2021-08-17 00:00:00",,,,,,,,,,"156787",,,,,,,,,,,
"117",,"121",,,"91",,,,,,"24RL449978S","Maruti Gypsy (All Models)",,,,"2014-11-03 00:00:00",,,,,,,,,,"171835",,,,,,,,,,,
"118",,"122",,,"111",,,,,,"24TF991017A","Jeep M&M 550XD",,,,"2014-08-03 00:00:00",,,,,,,,,,"45191",,,,,,,,,,,
"119",,"128",,,"108",,,,,,"24UJ067797S","Ashok Leyland Stallion 4x4",,,,"2012-05-23 00:00:00",,,,,,,,,,"104884",,,,,,,,,,,
"120",,"139",,,"100",,,,,,"24VR042051Z","Maruti Esteem 1300cc",,,,"2011-11-05 00:00:00",,,,,,,,,,"199371",,,,,,,,,,,
"121",,"157",,,"88",,,,,,"25BE044834Q","Suzuki Access 125cc",,,,"2018-02-26 00:00:00",,,,,,,,,,"187396",,,,,,,,,,,
"122",,"132",,,"99",,,,,,"25GZ280999L","Bajaj Chetak Scooter",,,,"2016-12-04 00:00:00",,,,,,,,,,"94615",,,,,,,,,,,
"123",,"123",,,"111",,,,,,"25IU118750O","LCV 2.5 Ton LPTA 713/715",,,,"2023-02-19 00:00:00",,,,,,,,,,"184551",,,,,,,,,,,
"124",,"154",,,"100",,,,,,"25JJ013494W","TVS Apache RTR 160cc",,,,"2015-05-28 00:00:00",,,,,,,,,,"32655",,,,,,,,,,,
"125",,"162",,,"100",,,,,,"25TD649993X","Volvo FMX 440 8x4",,,,"2008-01-28 00:00:00",,,,,,,,,,"75823",,,,,,,,,,,
"126",,"157",,,"108",,,,,,"25TU195799U","Suzuki Access 125cc",,,,"2010-01-27 00:00:00",,,,,,,,,,"114009",,,,,,,,,,,
"127",,"141",,,"103",,,,,,"25YW510266U","Tata Indica V2 Diesel",,,,"2017-11-18 00:00:00",,,,,,,,,,"117531",,,,,,,,,,,
"128",,"167",,,"96",,,,,,"25ZL148940Y","Nissan Patrol 4x4",,,,"2017-02-17 00:00:00",,,,,,,,,,"178519",,,,,,,,,,,
"129",,"127",,,"107",,,,,,"25ZQ521820Z","LCV DCM Toyota Dyna",,,,"2021-02-12 00:00:00",,,,,,,,,,"13776",,,,,,,,,,,
"130",,"162",,,"111",,,,,,"26AM405967T","Volvo FMX 440 8x4",,,,"2014-09-22 00:00:00",,,,,,,,,,"119816",,,,,,,,,,,
"131",,"158",,,"113",,,,,,"26FV429989E","Piaggio Ape Auto Rickshaw",,,,"2008-11-17 00:00:00",,,,,,,,,,"139995",,,,,,,,,,,
"132",,"160",,,"87",,,,,,"26NA677134B","Tata Prima 4028 Truck",,,,"2019-10-01 00:00:00",,,,,,,,,,"167038",,,,,,,,,,,
"133",,"147",,,"95",,,,,,"26PM483278G","BEML Dozer BD-80",,,,"2024-08-10 00:00:00",,,,,,,,,,"162595",,,,,,,,,,,
"134",,"13",,,"107",,,,,,"26QC205150F","MC 100cc Hero Honda CD-100",,,,"2005-08-28 00:00:00",,,,,,,,,,"158113",,,,,,,,,,,
"135",,"163",,,"112",,,,,,"27EY224774I","Mercedes-Benz Actros 4841K",,,,"2007-11-28 00:00:00",,,,,,,,,,"127703",,,,,,,,,,,
"136",,"168",,,"96",,,,,,"27ML509010Z","Land Rover Defender 110",,,,"2023-06-22 00:00:00",,,,,,,,,,"178683",,,,,,,,,,,
"137",,"149",,,"93",,,,,,"27WZ723934X","Escort Tractor 60 HP",,,,"2015-01-21 00:00:00",,,,,,,,,,"109781",,,,,,,,,,,
"138",,"128",,,"109",,,,,,"27XE760817Y","Ashok Leyland Stallion 4x4",,,,"2019-08-11 00:00:00",,,,,,,,,,"21025",,,,,,,,,,,
"139",,"167",,,"96",,,,,,"28EE481062F","Nissan Patrol 4x4",,,,"2010-09-21 00:00:00",,,,,,,,,,"73064",,,,,,,,,,,
"140",,"128",,,"99",,,,,,"28GE506506P","Ashok Leyland Stallion 4x4",,,,"2006-04-14 00:00:00",,,,,,,,,,"106840",,,,,,,,,,,
"141",,"168",,,"92",,,,,,"28PF203222H","Land Rover Defender 110",,,,"2011-05-03 00:00:00",,,,,,,,,,"80210",,,,,,,,,,,
"142",,"132",,,"99",,,,,,"28TE295162N","Bajaj Chetak Scooter",,,,"2015-11-06 00:00:00",,,,,,,,,,"96864",,,,,,,,,,,
"143",,"138",,,"96",,,,,,"28WY939134S","Maruti Suzuki Omni Van",,,,"2010-02-11 00:00:00",,,,,,,,,,"187652",,,,,,,,,,,
"144",,"134",,,"110",,,,,,"28ZA252550G","Royal Enfield 500cc Classic",,,,"2021-04-06 00:00:00",,,,,,,,,,"37081",,,,,,,,,,,
"145",,"153",,,"113",,,,,,"29VE043869X","Honda Activa 125cc",,,,"2020-09-28 00:00:00",,,,,,,,,,"114705",,,,,,,,,,,
"146",,"168",,,"87",,,,,,"30DL565351V","Land Rover Defender 110",,,,"2014-02-13 00:00:00",,,,,,,,,,"153835",,,,,,,,,,,
"147",,"162",,,"96",,,,,,"30DX207300R","Volvo FMX 440 8x4",,,,"2010-02-22 00:00:00",,,,,,,,,,"160239",,,,,,,,,,,
"148",,"167",,,"91",,,,,,"30FA021735I","Nissan Patrol 4x4",,,,"2023-08-31 00:00:00",,,,,,,,,,"144872",,,,,,,,,,,
"149",,"13",,,"96",,,,,,"30MK990363R","MC 100cc Hero Honda CD-100",,,,"2015-11-27 00:00:00",,,,,,,,,,"109915",,,,,,,,,,,
"150",,"128",,,"96",,,,,,"30MO543770J","Ashok Leyland Stallion 4x4",,,,"2009-04-03 00:00:00",,,,,,,,,,"54946",,,,,,,,,,,
"151",,"120",,,"108",,,,,,"31AL267779O","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2016-08-28 00:00:00",,,,,,,,,,"195130",,,,,,,,,,,
"152",,"160",,,"96",,,,,,"31AU148495G","Tata Prima 4028 Truck",,,,"2010-04-13 00:00:00",,,,,,,,,,"44296",,,,,,,,,,,
"153",,"148",,,"96",,,,,,"31HO330225F","JCB Excavator 3DX",,,,"2011-04-04 00:00:00",,,,,,,,,,"62922",,,,,,,,,,,
"154",,"126",,,"91",,,,,,"31JJ408479P","Tata Sumo Lt Amb",,,,"2019-07-28 00:00:00",,,,,,,,,,"58034",,,,,,,,,,,
"155",,"162",,,"115",,,,,,"31OL357977B","Volvo FMX 440 8x4",,,,"2011-05-20 00:00:00",,,,,,,,,,"94003",,,,,,,,,,,
"156",,"167",,,"112",,,,,,"31PL886267L","Nissan Patrol 4x4",,,,"2018-08-09 00:00:00",,,,,,,,,,"12873",,,,,,,,,,,
"157",,"134",,,"109",,,,,,"31UJ654889A","Royal Enfield 500cc Classic",,,,"2011-05-01 00:00:00",,,,,,,,,,"4664",,,,,,,,,,,
"158",,"167",,,"109",,,,,,"31ZI576178R","Nissan Patrol 4x4",,,,"2008-12-06 00:00:00",,,,,,,,,,"47039",,,,,,,,,,,
"159",,"141",,,"99",,,,,,"31ZJ849764K","Tata Indica V2 Diesel",,,,"2013-09-28 00:00:00",,,,,,,,,,"186428",,,,,,,,,,,
"160",,"130",,,"114",,,,,,"32OL774571A","Tata 407 LPT",,,,"2023-01-21 00:00:00",,,,,,,,,,"19095",,,,,,,,,,,
"161",,"129",,,"112",,,,,,"32RL919412R","Ashok Leyland Stallion 6x6",,,,"2010-07-01 00:00:00",,,,,,,,,,"64781",,,,,,,,,,,
"162",,"144",,,"110",,,,,,"32TJ705092B","Force Motors Traveller 3050",,,,"2011-04-16 00:00:00",,,,,,,,,,"96928",,,,,,,,,,,
"163",,"143",,,"96",,,,,,"32XG606964U","Tata Safari Dicor 2.2",,,,"2016-01-20 00:00:00",,,,,,,,,,"143267",,,,,,,,,,,
"164",,"146",,,"106",,,,,,"32XO973226R","Eicher Canter 10.75",,,,"2018-01-20 00:00:00",,,,,,,,,,"97362",,,,,,,,,,,
"165",,"130",,,"102",,,,,,"32YF527182F","Tata 407 LPT",,,,"2005-09-22 00:00:00",,,,,,,,,,"13103",,,,,,,,,,,
"166",,"121",,,"104",,,,,,"33DK642364I","Maruti Gypsy (All Models)",,,,"2007-10-30 00:00:00",,,,,,,,,,"6945",,,,,,,,,,,
