"id","refjobno","tcode","fault","workdone","repairdate","timetakenh","timetakenm","nooftrademen","entryclk","critical","scheduled"
,"83",,"1428",,,,,,,"1",
,"83",,"1666",,,,,,,"0",
,"84",,"372",,,,,,,"0",
,"84",,"436",,,,,,,"1",
,"84",,"598",,,,,,,"1",
,"84",,"67",,,,,,,"1",
,"85",,"1247",,,,,,,"1",
,"85",,"1266",,,,,,,"1",
,"85",,"1611",,,,,,,"1",
,"85",,"1027",,,,,,,"1",
,"85",,"1246",,,,,,,"0",
,"86",,"981",,,,,,,"1",
,"87",,"1427",,,,,,,"0",
,"87",,"1206",,,,,,,"0",
,"88",,"474",,,,,,,"0",
,"88",,"943",,,,,,,"1",
,"88",,"339",,,,,,,"0",
,"89",,"511",,,,,,,"1",
,"89",,"315",,,,,,,"1",
,"90",,"394",,,,,,,"1",
,"90",,"810",,,,,,,"0",
,"90",,"985",,,,,,,"1",
,"90",,"1082",,,,,,,"0",
,"91",,"854",,,,,,,"1",
,"91",,"1605",,,,,,,"1",
,"92",,"968",,,,,,,"1",
,"92",,"1270",,,,,,,"1",
,"93",,"22",,,,,,,"0",
,"93",,"745",,,,,,,"0",
,"93",,"1192",,,,,,,"1",
,"94",,"32",,,,,,,"0",
,"94",,"465",,,,,,,"1",
,"94",,"353",,,,,,,"1",
,"94",,"1036",,,,,,,"1",
,"95",,"1539",,,,,,,"1",
,"95",,"521",,,,,,,"1",
,"96",,"1346",,,,,,,"1",
,"97",,"1548",,,,,,,"0",
,"98",,"403",,,,,,,"1",
,"99",,"1380",,,,,,,"0",
,"99",,"336",,,,,,,"1",
,"99",,"1139",,,,,,,"1",
,"99",,"757",,,,,,,"1",
,"99",,"524",,,,,,,"0",
,"100",,"1077",,,,,,,"1",
,"100",,"1449",,,,,,,"1",
,"101",,"1485",,,,,,,"1",
,"101",,"1646",,,,,,,"0",
,"102",,"1495",,,,,,,"0",
,"102",,"1147",,,,,,,"1",
,"102",,"351",,,,,,,"1",
,"102",,"61",,,,,,,"0",
,"102",,"1541",,,,,,,"0",
,"103",,"974",,,,,,,"0",
,"103",,"756",,,,,,,"1",
,"103",,"1078",,,,,,,"1",
,"104",,"1413",,,,,,,"1",
,"104",,"713",,,,,,,"0",
,"104",,"1596",,,,,,,"0",
,"104",,"509",,,,,,,"0",
,"104",,"1110",,,,,,,"0",
,"105",,"1166",,,,,,,"0",
,"106",,"992",,,,,,,"0",
,"106",,"736",,,,,,,"0",
,"106",,"1570",,,,,,,"1",
,"107",,"1228",,,,,,,"1",
,"107",,"93",,,,,,,"1",
,"108",,"71",,,,,,,"0",
,"108",,"1397",,,,,,,"0",
,"108",,"678",,,,,,,"1",
,"108",,"329",,,,,,,"0",
,"109",,"223",,,,,,,"1",
,"109",,"263",,,,,,,"0",
,"109",,"165",,,,,,,"1",
,"110",,"1501",,,,,,,"0",
,"110",,"1375",,,,,,,"0",
,"110",,"978",,,,,,,"0",
,"110",,"175",,,,,,,"0",
,"110",,"816",,,,,,,"1",
,"111",,"501",,,,,,,"0",
,"111",,"1110",,,,,,,"0",
,"111",,"872",,,,,,,"0",
,"111",,"279",,,,,,,"0",
,"111",,"166",,,,,,,"0",
,"112",,"172",,,,,,,"0",
,"113",,"793",,,,,,,"0",
,"113",,"275",,,,,,,"1",
,"113",,"1392",,,,,,,"1",
,"113",,"676",,,,,,,"0",
,"113",,"1143",,,,,,,"1",
,"114",,"358",,,,,,,"0",
,"115",,"1061",,,,,,,"1",
,"115",,"1609",,,,,,,"1",
,"116",,"931",,,,,,,"1",
,"116",,"651",,,,,,,"1",
,"116",,"30",,,,,,,"0",
,"117",,"481",,,,,,,"1",
,"117",,"1240",,,,,,,"0",
,"117",,"558",,,,,,,"1",
,"117",,"929",,,,,,,"0",
,"117",,"305",,,,,,,"1",
,"118",,"818",,,,,,,"1",
,"119",,"728",,,,,,,"1",
,"119",,"784",,,,,,,"0",
,"120",,"1284",,,,,,,"0",
,"120",,"885",,,,,,,"0",
,"120",,"37",,,,,,,"0",
,"120",,"1055",,,,,,,"0",
,"121",,"707",,,,,,,"0",
,"121",,"1521",,,,,,,"1",
,"121",,"1438",,,,,,,"0",
,"122",,"477",,,,,,,"1",
,"122",,"1424",,,,,,,"1",
,"122",,"1496",,,,,,,"1",
,"122",,"140",,,,,,,"1",
,"123",,"774",,,,,,,"1",
,"124",,"335",,,,,,,"0",
,"124",,"651",,,,,,,"0",
,"124",,"615",,,,,,,"0",
,"124",,"481",,,,,,,"0",
,"124",,"99",,,,,,,"0",
,"125",,"198",,,,,,,"1",
,"126",,"1276",,,,,,,"1",
,"126",,"1508",,,,,,,"0",
,"126",,"531",,,,,,,"1",
,"126",,"1681",,,,,,,"1",
,"127",,"1422",,,,,,,"1",
,"128",,"1589",,,,,,,"0",
,"128",,"443",,,,,,,"0",
,"128",,"1653",,,,,,,"0",
,"128",,"1548",,,,,,,"1",
,"129",,"51",,,,,,,"0",
,"129",,"1455",,,,,,,"1",
,"129",,"871",,,,,,,"0",
,"130",,"334",,,,,,,"0",
,"130",,"890",,,,,,,"1",
,"130",,"188",,,,,,,"0",
,"130",,"169",,,,,,,"0",
,"131",,"1644",,,,,,,"0",
,"131",,"1131",,,,,,,"0",
,"131",,"1291",,,,,,,"0",
,"131",,"1501",,,,,,,"1",
,"131",,"842",,,,,,,"1",
,"132",,"808",,,,,,,"1",
,"132",,"1245",,,,,,,"0",
,"132",,"284",,,,,,,"1",
,"132",,"1135",,,,,,,"1",
,"133",,"1262",,,,,,,"0",
,"133",,"656",,,,,,,"0",
,"133",,"205",,,,,,,"1",
,"134",,"720",,,,,,,"0",
,"134",,"267",,,,,,,"1",
,"135",,"485",,,,,,,"1",
,"135",,"1614",,,,,,,"1",
,"135",,"1006",,,,,,,"1",
,"135",,"443",,,,,,,"1",
,"135",,"705",,,,,,,"1",
,"136",,"1388",,,,,,,"1",
,"136",,"1693",,,,,,,"0",
,"137",,"1229",,,,,,,"1",
,"137",,"302",,,,,,,"0",
,"137",,"519",,,,,,,"1",
,"137",,"1685",,,,,,,"1",
,"138",,"1352",,,,,,,"1",
,"138",,"60",,,,,,,"0",
,"138",,"1212",,,,,,,"1",
,"138",,"290",,,,,,,"1",
,"138",,"472",,,,,,,"0",
,"139",,"1323",,,,,,,"1",
,"140",,"436",,,,,,,"1",
,"141",,"162",,,,,,,"1",
,"141",,"677",,,,,,,"0",
,"141",,"1495",,,,,,,"1",
,"141",,"1322",,,,,,,"0",
,"141",,"36",,,,,,,"0",
,"142",,"1382",,,,,,,"0",
,"142",,"1643",,,,,,,"1",
,"142",,"332",,,,,,,"1",
,"143",,"1159",,,,,,,"0",
,"143",,"99",,,,,,,"0",
,"143",,"982",,,,,,,"1",
,"143",,"27",,,,,,,"1",
,"144",,"487",,,,,,,"1",
,"144",,"1448",,,,,,,"0",
,"144",,"1578",,,,,,,"1",
,"145",,"1153",,,,,,,"1",
,"145",,"1026",,,,,,,"0",
,"145",,"1101",,,,,,,"0",
,"145",,"1256",,,,,,,"0",
,"146",,"317",,,,,,,"0",
,"147",,"1148",,,,,,,"0",
,"147",,"1485",,,,,,,"1",
,"147",,"938",,,,,,,"0",
,"147",,"803",,,,,,,"1",
,"147",,"1540",,,,,,,"0",
,"148",,"476",,,,,,,"0",
,"148",,"504",,,,,,,"1",
,"148",,"588",,,,,,,"1",
,"149",,"695",,,,,,,"1",
,"149",,"454",,,,,,,"1",
,"149",,"1265",,,,,,,"0",
,"149",,"1465",,,,,,,"0",
,"149",,"1445",,,,,,,"1",
,"150",,"513",,,,,,,"0",
,"150",,"275",,,,,,,"1",
,"150",,"1500",,,,,,,"0",
,"150",,"445",,,,,,,"0",
,"150",,"1349",,,,,,,"0",
,"151",,"1199",,,,,,,"1",
,"151",,"998",,,,,,,"1",
,"151",,"1677",,,,,,,"1",
,"152",,"1100",,,,,,,"0",
,"153",,"862",,,,,,,"1",
,"153",,"581",,,,,,,"1",
,"153",,"271",,,,,,,"1",
,"154",,"1408",,,,,,,"0",
,"155",,"861",,,,,,,"1",
,"155",,"1605",,,,,,,"0",
,"155",,"1216",,,,,,,"1",
,"155",,"1401",,,,,,,"0",
,"156",,"1292",,,,,,,"0",
,"157",,"103",,,,,,,"1",
,"157",,"1264",,,,,,,"0",
,"157",,"465",,,,,,,"0",
,"158",,"587",,,,,,,"0",
,"158",,"654",,,,,,,"0",
,"158",,"73",,,,,,,"0",
,"159",,"1678",,,,,,,"1",
,"159",,"1051",,,,,,,"1",
,"159",,"270",,,,,,,"0",
,"159",,"560",,,,,,,"1",
,"160",,"1672",,,,,,,"0",
,"160",,"1573",,,,,,,"0",
,"160",,"1608",,,,,,,"0",
,"160",,"1157",,,,,,,"1",
,"161",,"1374",,,,,,,"0",
,"161",,"1050",,,,,,,"1",
,"161",,"65",,,,,,,"1",
,"161",,"843",,,,,,,"1",
,"161",,"542",,,,,,,"1",
,"162",,"80",,,,,,,"0",
,"162",,"1402",,,,,,,"1",
,"163",,"810",,,,,,,"1",
,"163",,"452",,,,,,,"1",
,"163",,"251",,,,,,,"0",
,"163",,"40",,,,,,,"0",
,"163",,"501",,,,,,,"0",
,"164",,"916",,,,,,,"0",
,"164",,"1624",,,,,,,"0",
,"164",,"764",,,,,,,"1",
,"164",,"324",,,,,,,"1",
,"165",,"710",,,,,,,"0",
,"165",,"861",,,,,,,"1",
,"165",,"620",,,,,,,"1",
,"165",,"993",,,,,,,"0",
,"166",,"69",,,,,,,"0",
,"166",,"187",,,,,,,"0",
,"166",,"82",,,,,,,"1",
,"166",,"693",,,,,,,"1",
,"167",,"257",,,,,,,"0",
,"168",,"956",,,,,,,"0",
,"168",,"1546",,,,,,,"1",
,"169",,"1236",,,,,,,"1",
,"169",,"534",,,,,,,"1",
,"169",,"1444",,,,,,,"1",
,"169",,"974",,,,,,,"0",
,"169",,"1655",,,,,,,"1",
,"170",,"791",,,,,,,"0",
,"170",,"1304",,,,,,,"1",
,"170",,"1292",,,,,,,"0",
,"170",,"648",,,,,,,"1",
,"171",,"1203",,,,,,,"0",
,"171",,"1083",,,,,,,"0",
,"171",,"1552",,,,,,,"0",
,"171",,"182",,,,,,,"1",
,"172",,"459",,,,,,,"0",
,"172",,"1371",,,,,,,"1",
,"172",,"921",,,,,,,"0",
,"172",,"451",,,,,,,"0",
,"172",,"1655",,,,,,,"0",
,"173",,"1017",,,,,,,"0",
,"173",,"896",,,,,,,"1",
,"173",,"332",,,,,,,"1",
,"174",,"305",,,,,,,"1",
,"175",,"873",,,,,,,"1",
,"175",,"313",,,,,,,"1",
,"176",,"1198",,,,,,,"1",
,"176",,"1045",,,,,,,"1",
,"177",,"1445",,,,,,,"1",
,"177",,"1592",,,,,,,"1",
,"177",,"1077",,,,,,,"0",
,"177",,"356",,,,,,,"1",
,"177",,"1530",,,,,,,"0",
,"178",,"1055",,,,,,,"1",
,"178",,"1512",,,,,,,"1",
,"178",,"846",,,,,,,"0",
,"179",,"499",,,,,,,"1",
,"179",,"1655",,,,,,,"1",
,"179",,"845",,,,,,,"0",
,"179",,"976",,,,,,,"0",
,"180",,"582",,,,,,,"1",
,"180",,"840",,,,,,,"0",
,"180",,"203",,,,,,,"0",
,"181",,"99",,,,,,,"1",
,"181",,"610",,,,,,,"0",
,"181",,"243",,,,,,,"0",
,"182",,"383",,,,,,,"0",
,"182",,"137",,,,,,,"1",
,"182",,"1143",,,,,,,"0",
,"182",,"1683",,,,,,,"0",
,"183",,"581",,,,,,,"1",
,"184",,"1068",,,,,,,"1",
,"184",,"359",,,,,,,"0",
,"184",,"1205",,,,,,,"1",
,"185",,"862",,,,,,,"0",
,"185",,"907",,,,,,,"1",
,"186",,"804",,,,,,,"1",
,"187",,"205",,,,,,,"0",
,"187",,"17",,,,,,,"1",
,"187",,"954",,,,,,,"1",
,"187",,"414",,,,,,,"0",
,"188",,"768",,,,,,,"1",
,"189",,"1597",,,,,,,"0",
,"189",,"1257",,,,,,,"1",
,"189",,"1439",,,,,,,"1",
,"189",,"1498",,,,,,,"1",
,"190",,"751",,,,,,,"1",
,"190",,"945",,,,,,,"1",
,"190",,"40",,,,,,,"1",
,"190",,"960",,,,,,,"1",
,"190",,"1176",,,,,,,"1",
,"191",,"1560",,,,,,,"1",
,"192",,"557",,,,,,,"0",
,"192",,"695",,,,,,,"1",
,"192",,"499",,,,,,,"0",
,"192",,"603",,,,,,,"1",
,"192",,"811",,,,,,,"0",
,"193",,"803",,,,,,,"0",
,"193",,"365",,,,,,,"1",
,"194",,"639",,,,,,,"1",
,"194",,"1021",,,,,,,"0",
,"194",,"912",,,,,,,"1",
,"195",,"980",,,,,,,"0",
,"195",,"182",,,,,,,"0",
,"195",,"1594",,,,,,,"1",
,"195",,"195",,,,,,,"1",
,"196",,"1258",,,,,,,"0",
,"196",,"1159",,,,,,,"1",
,"196",,"1607",,,,,,,"0",
,"196",,"1480",,,,,,,"0",
,"196",,"920",,,,,,,"0",
,"197",,"604",,,,,,,"1",
,"197",,"869",,,,,,,"0",
,"197",,"1343",,,,,,,"0",
,"198",,"992",,,,,,,"0",
,"198",,"178",,,,,,,"1",
,"198",,"493",,,,,,,"0",
,"199",,"172",,,,,,,"1",
,"199",,"1497",,,,,,,"0",
,"199",,"1185",,,,,,,"0",
,"199",,"1298",,,,,,,"1",
,"199",,"398",,,,,,,"1",
,"200",,"1097",,,,,,,"0",
,"200",,"844",,,,,,,"1",
,"201",,"278",,,,,,,"0",
,"201",,"1579",,,,,,,"0",
,"201",,"665",,,,,,,"1",
,"201",,"490",,,,,,,"0",
,"202",,"898",,,,,,,"0",
,"202",,"21",,,,,,,"0",
,"202",,"19",,,,,,,"1",
,"202",,"1637",,,,,,,"1",
,"202",,"1073",,,,,,,"0",
,"203",,"1673",,,,,,,"0",
,"203",,"741",,,,,,,"1",
,"204",,"223",,,,,,,"0",
,"204",,"940",,,,,,,"1",
,"204",,"1061",,,,,,,"0",
,"204",,"656",,,,,,,"0",
,"204",,"1088",,,,,,,"0",
,"205",,"759",,,,,,,"1",
,"205",,"436",,,,,,,"0",
,"205",,"114",,,,,,,"1",
,"205",,"1414",,,,,,,"0",
,"206",,"1354",,,,,,,"1",
,"206",,"241",,,,,,,"1",
,"206",,"312",,,,,,,"1",
,"207",,"1125",,,,,,,"1",
,"207",,"1315",,,,,,,"1",
,"207",,"1025",,,,,,,"0",
,"207",,"1016",,,,,,,"0",
,"207",,"1556",,,,,,,"1",
,"208",,"1515",,,,,,,"0",
,"209",,"1481",,,,,,,"0",
,"209",,"1082",,,,,,,"1",
,"209",,"340",,,,,,,"0",
,"210",,"808",,,,,,,"0",
,"211",,"646",,,,,,,"0",
,"211",,"611",,,,,,,"0",
,"211",,"328",,,,,,,"0",
,"212",,"672",,,,,,,"1",
,"212",,"405",,,,,,,"0",
,"212",,"1437",,,,,,,"0",
,"212",,"485",,,,,,,"0",
,"212",,"1453",,,,,,,"0",
,"213",,"248",,,,,,,"1",
,"213",,"1451",,,,,,,"1",
,"214",,"113",,,,,,,"0",
,"215",,"953",,,,,,,"1",
,"216",,"218",,,,,,,"1",
,"216",,"982",,,,,,,"1",
,"216",,"154",,,,,,,"0",
,"216",,"1276",,,,,,,"1",
,"217",,"161",,,,,,,"0",
,"217",,"1685",,,,,,,"1",
,"217",,"1106",,,,,,,"1",
,"217",,"808",,,,,,,"0",
,"217",,"724",,,,,,,"1",
,"218",,"1612",,,,,,,"1",
,"218",,"885",,,,,,,"1",
,"218",,"861",,,,,,,"1",
,"218",,"583",,,,,,,"1",
,"218",,"1483",,,,,,,"1",
,"219",,"564",,,,,,,"0",
,"220",,"500",,,,,,,"1",
,"221",,"1350",,,,,,,"0",
,"222",,"232",,,,,,,"1",
,"222",,"1210",,,,,,,"1",
,"222",,"1085",,,,,,,"0",
,"222",,"447",,,,,,,"0",
,"222",,"1673",,,,,,,"1",
,"223",,"982",,,,,,,"0",
,"223",,"1290",,,,,,,"1",
,"223",,"788",,,,,,,"1",
,"223",,"376",,,,,,,"1",
,"224",,"789",,,,,,,"0",
,"224",,"1157",,,,,,,"1",
,"224",,"345",,,,,,,"0",
,"224",,"1459",,,,,,,"1",
,"225",,"1506",,,,,,,"0",
,"225",,"1183",,,,,,,"0",
,"225",,"229",,,,,,,"0",
,"225",,"933",,,,,,,"0",
,"225",,"546",,,,,,,"1",
,"226",,"131",,,,,,,"1",
,"226",,"796",,,,,,,"0",
,"226",,"183",,,,,,,"1",
,"227",,"775",,,,,,,"1",
,"227",,"123",,,,,,,"0",
,"227",,"344",,,,,,,"0",
,"227",,"908",,,,,,,"1",
,"227",,"805",,,,,,,"1",
,"228",,"483",,,,,,,"0",
,"228",,"1129",,,,,,,"1",
,"229",,"1213",,,,,,,"0",
,"229",,"1456",,,,,,,"1",
,"229",,"819",,,,,,,"0",
,"229",,"636",,,,,,,"0",
,"230",,"1520",,,,,,,"1",
,"230",,"218",,,,,,,"0",
,"230",,"1147",,,,,,,"1",
,"231",,"1320",,,,,,,"1",
,"231",,"89",,,,,,,"0",
,"232",,"523",,,,,,,"0",
,"232",,"772",,,,,,,"1",
,"232",,"286",,,,,,,"0",
,"233",,"668",,,,,,,"1",
,"233",,"388",,,,,,,"0",
,"233",,"21",,,,,,,"0",
,"233",,"177",,,,,,,"0",
,"234",,"1325",,,,,,,"0",
,"234",,"1372",,,,,,,"1",
,"234",,"525",,,,,,,"1",
,"234",,"32",,,,,,,"1",
,"234",,"1628",,,,,,,"1",
,"235",,"73",,,,,,,"0",
,"236",,"673",,,,,,,"1",
,"237",,"400",,,,,,,"1",
,"237",,"1301",,,,,,,"0",
,"238",,"1507",,,,,,,"1",
,"239",,"744",,,,,,,"1",
,"239",,"697",,,,,,,"0",
,"239",,"571",,,,,,,"0",
,"239",,"1190",,,,,,,"1",
,"240",,"71",,,,,,,"1",
,"240",,"1553",,,,,,,"1",
,"240",,"798",,,,,,,"0",
,"240",,"1361",,,,,,,"0",
,"241",,"1570",,,,,,,"1",
,"241",,"802",,,,,,,"0",
,"241",,"978",,,,,,,"0",
,"241",,"827",,,,,,,"1",
,"242",,"519",,,,,,,"0",
,"242",,"1115",,,,,,,"1",
,"242",,"836",,,,,,,"1",
,"242",,"1006",,,,,,,"0",
,"242",,"983",,,,,,,"0",
,"243",,"151",,,,,,,"0",
,"243",,"1227",,,,,,,"1",
,"244",,"1424",,,,,,,"1",
,"244",,"1596",,,,,,,"0",
,"245",,"1271",,,,,,,"0",
,"245",,"1400",,,,,,,"0",
,"246",,"849",,,,,,,"1",
,"247",,"374",,,,,,,"0",
,"247",,"377",,,,,,,"0",
,"247",,"61",,,,,,,"0",
,"248",,"708",,,,,,,"0",
,"248",,"1611",,,,,,,"1",
,"248",,"1007",,,,,,,"1",
,"248",,"1440",,,,,,,"0",
,"249",,"1104",,,,,,,"0",
,"249",,"881",,,,,,,"0",
,"249",,"1280",,,,,,,"0",
,"250",,"1158",,,,,,,"0",
,"251",,"1116",,,,,,,"0",
,"251",,"933",,,,,,,"0",
,"251",,"414",,,,,,,"0",
,"251",,"725",,,,,,,"0",
,"252",,"238",,,,,,,"0",
,"252",,"444",,,,,,,"1",
,"252",,"1457",,,,,,,"1",
,"253",,"392",,,,,,,"1",
,"253",,"11",,,,,,,"0",
,"253",,"350",,,,,,,"0",
,"253",,"215",,,,,,,"0",
,"254",,"149",,,,,,,"1",
,"255",,"1603",,,,,,,"1",
,"255",,"826",,,,,,,"0",
,"255",,"408",,,,,,,"0",
,"255",,"691",,,,,,,"0",
,"256",,"1694",,,,,,,"0",
,"256",,"163",,,,,,,"0",
,"257",,"420",,,,,,,"0",
,"257",,"1281",,,,,,,"1",
,"257",,"1124",,,,,,,"1",
,"257",,"583",,,,,,,"0",
,"257",,"909",,,,,,,"0",
,"258",,"483",,,,,,,"0",
,"259",,"1221",,,,,,,"0",
,"259",,"417",,,,,,,"0",
,"260",,"1447",,,,,,,"0",
,"261",,"1639",,,,,,,"1",
,"261",,"1076",,,,,,,"1",
,"261",,"1417",,,,,,,"1",
,"261",,"340",,,,,,,"1",
,"261",,"65",,,,,,,"0",
,"262",,"1317",,,,,,,"1",
,"262",,"92",,,,,,,"1",
,"262",,"98",,,,,,,"1",
,"262",,"1072",,,,,,,"0",
,"262",,"102",,,,,,,"1",
,"263",,"1125",,,,,,,"0",
,"263",,"654",,,,,,,"0",
,"263",,"1306",,,,,,,"1",
,"264",,"408",,,,,,,"0",
,"264",,"1022",,,,,,,"0",
,"264",,"165",,,,,,,"1",
,"264",,"294",,,,,,,"0",
,"264",,"240",,,,,,,"1",
,"265",,"351",,,,,,,"1",
,"265",,"805",,,,,,,"0",
,"265",,"1215",,,,,,,"0",
,"266",,"1547",,,,,,,"0",
,"266",,"227",,,,,,,"0",
,"266",,"58",,,,,,,"1",
,"266",,"1295",,,,,,,"0",
,"266",,"1052",,,,,,,"1",
,"267",,"1188",,,,,,,"1",
,"267",,"725",,,,,,,"0",
,"267",,"1158",,,,,,,"0",
,"267",,"1100",,,,,,,"1",
,"268",,"249",,,,,,,"0",
,"268",,"361",,,,,,,"0",
,"269",,"900",,,,,,,"0",
,"269",,"1687",,,,,,,"0",
,"269",,"569",,,,,,,"0",
,"270",,"528",,,,,,,"0",
,"270",,"1633",,,,,,,"1",
,"270",,"973",,,,,,,"1",
,"270",,"558",,,,,,,"1",
,"271",,"1639",,,,,,,"0",
,"271",,"1652",,,,,,,"0",
,"271",,"745",,,,,,,"1",
,"271",,"1311",,,,,,,"1",
,"272",,"763",,,,,,,"0",
,"273",,"1676",,,,,,,"0",
,"274",,"1472",,,,,,,"0",
,"275",,"328",,,,,,,"1",
,"275",,"991",,,,,,,"0",
,"275",,"614",,,,,,,"1",
,"275",,"256",,,,,,,"1",
,"276",,"403",,,,,,,"0",
,"276",,"356",,,,,,,"1",
,"276",,"554",,,,,,,"0",
,"276",,"644",,,,,,,"0",
,"277",,"1357",,,,,,,"1",
,"277",,"686",,,,,,,"1",
,"277",,"1265",,,,,,,"0",
,"277",,"541",,,,,,,"1",
,"278",,"1001",,,,,,,"0",
,"278",,"145",,,,,,,"1",
,"279",,"160",,,,,,,"1",
,"279",,"299",,,,,,,"1",
,"279",,"1139",,,,,,,"1",
